Sensor Position (Degrees)	Light Intensity (Volts)
Polarization of Light 'Brewsters' Data File Fri, Mar 13, 2026 3:37 PM	
180	3.34274
180	3.34371
180	3.34435
180	3.34193
180	3.34387
180	3.3429
180	3.34499
179.98333	3.34016
179.95	3.33565
179.88333	3.32921
179.81667	3.31632
179.73333	3.27267
179.61667	3.23079
179.55	3.23578
179.5	3.2208
179.43333	3.16506
179.35	3.0436
179.3	3.07469
178.86667	3.02411
178.8	3.00027
178.73333	3.10997
178.66667	3.11851
178.58333	3.13703
178.51667	3.21419
178.41667	3.20211
178.36667	3.191
178.35	3.18794
178.3	3.17859
178.25	3.13784
178.2	3.10031
178.11667	3.04135
178.01667	3.02637
177.96667	2.99802
177.93333	2.9919
177.9	2.97949
177.88333	2.98143
177.86667	2.98239
177.83333	2.97208
177.78333	2.96081
177.75	2.93777
177.7	2.86931
176.7	2.68535
176.21667	2.63944
176.18333	2.71048
176.15	2.71064
176.11667	2.70662
176.1	2.70629
176.06667	2.686
176.01667	2.65877
175.95	2.57501
175.88333	2.55085
175.81667	2.64428
175.78333	2.65314
175.73333	2.63864
175.71667	2.62269
175.7	2.59708
175.3	2.57743
175.26667	2.57759
175.23333	2.57404
175.2	2.56696
175.15	2.56293
175.1	2.54779
175.03333	2.54392
174.96667	2.53297
174.91667	2.53603
174.88333	2.53909
174.85	2.52846
174.81667	2.51428
174.76667	2.50478
174.66667	2.48045
174.58333	2.4666
174.53333	2.45855
174.46667	2.4513
174.41667	2.43503
174.36667	2.436
174.31667	2.42907
174.3	2.42327
174.26667	2.41473
174.25	2.40088
174.23333	2.383
174.21667	2.38284
174.2	2.38203
174.16667	2.40201
174.13333	2.39492
174.08333	2.39331
174.03333	2.39476
174.03333	2.40893
174.01667	2.40313
174	2.3983
174	2.39492
173.95	2.38558
173.86667	2.35739
173.83333	2.35255
173.8	2.3482
173.75	2.33113
173.73333	2.335
173.71667	2.3379
173.7	2.33177
173.68333	2.3321
173.65	2.32002
173.61667	2.18519
173.18333	2.12494
173.13333	2.24882
173.06667	2.25703
173.03333	2.25977
172.98333	2.24849
172.95	2.24769
172.9	2.21724
172.88333	2.21048
172.85	2.20339
172.83333	2.20049
172.75	2.17842
172.68333	2.13783
172.58333	2.13509
172.55	2.11383
172.5	2.10626
172.48333	2.0233
172.45	2.01557
172.3	2.0618
172.25	2.10722
172.21667	2.10755
172.2	2.09772
172.16667	2.08725
172.13333	2.05181
172.11667	2.01734
171.63333	1.89443
171.55	1.7551
171.53333	1.79843
171.13333	1.80471
171.06667	1.8569
171.01667	1.87156
170.96667	1.83741
