Sensor Position (Degrees)	Light Intensity (Volts)
Polarization of Light 'Brewsters' Data File Mon, Mar 16, 2026 4:15 PM	
180.01667	0.28941
180.01667	0.28684
180.01667	0.28587
180	0.28571
180	0.28909
180	0.29038
180	0.28828
180	0.28941
180	0.28941
180	0.29086
180	0.28458
180	0.28684
180	0.28619
180	0.28893
180	0.28877
180	0.28941
180	0.28587
180	0.2907
180	0.28684
180	0.28957
180	0.28458
180	0.28812
180	0.28216
180	0.28812
180	0.28684
180	0.28828
180	0.2878
180	0.28845
180	0.28893
180	0.28764
180	0.28748
180	0.28925
180	0.28587
180	0.28716
180	0.28716
180	0.287
180	0.28635
180	0.28732
180	0.28667
180	0.29022
180	0.28716
180	0.28603
180	0.2878
180	0.28877
180	0.28893
180	0.28651
180	0.2878
180	0.2899
180	0.28539
180	0.28893
180	0.28555
180	0.2899
180	0.28587
180	0.29167
179.98333	0.2907
179.98333	0.28909
179.88333	0.27717
176.51667	0.28023
176.48333	0.28909
176.46667	0.30729
176.4	0.28925
176.33333	0.2965
176.28333	0.28764
176.26667	0.29569
176.2	0.28925
176.13333	0.31084
176.05	0.30455
175.95	0.31615
175.83333	0.3176
175.75	0.31712
175.66667	0.31535
175.58333	0.31953
175.5	0.3197
175.45	0.3205
175.36667	0.32082
175.3	0.32131
175.21667	0.3205
175.15	0.32501
175.1	0.3197
175.08333	0.32437
175.03333	0.32469
174.95	0.32727
174.86667	0.32437
174.83333	0.32405
174.8	0.32179
174.76667	0.31937
174.7	0.30842
174.65	0.29602
174.61667	0.28845
173.98333	0.28603
173.91667	0.27765
173.85	0.33113
173.78333	0.33274
173.68333	0.33725
173.56667	0.33854
173.45	0.34096
173.33333	0.34112
173.25	0.34402
173.21667	0.34128
173.2	0.34418
173.15	0.34354
173.11667	0.34434
173.08333	0.34031
173.05	0.33113
173	0.33387
172.95	0.33065
172.91667	0.33274
172.88333	0.33226
172.83333	0.3416
172.78333	0.33661
172.73333	0.33806
172.7	0.33838
172.65	0.32807
172.63333	0.32453
172.6	0.32034
172.56667	0.31164
172.56667	0.30504
172	0.34982
171.95	0.34917
171.86667	0.34901
171.76667	0.35062
171.7	0.34112
171.65	0.33435
171.63333	0.32614
171.63333	0.32211
171.61667	0.33001
171.56667	0.33162
171.48333	0.34321
171.36667	0.35691
171.21667	0.35884
171.15	0.35852
171.13333	0.36077
171.13333	0.35916
171.13333	0.35852
171.13333	0.35739
171.13333	0.35658
171.13333	0.35449
171.13333	0.35433
171.13333	0.35336
171.13333	0.35159
171.13333	0.3495
171.13333	0.35078
171.13333	0.35465
171.13333	0.35175
171.13333	0.35272
171.13333	0.3532
171.13333	0.35433
171.11667	0.35449
171.11667	0.35095
171.1	0.35207
171.05	0.33403
170.9	0.30842
170.78333	0.33532
170.73333	0.35997
170.66667	0.36029
170.61667	0.35932
170.55	0.3619
170.46667	0.34837
170.33333	0.32034
170.1	0.33129
170.06667	0.33049
170.03333	0.30616
169.6	0.33403
169.53333	0.30713
168.28333	0.36174
168.23333	0.35739
168.16667	0.37221
168.1	0.37672
168.03333	0.36528
167.96667	0.35948
166.53333	0.3946
166.51667	0.39911
166.46667	0.40281
166.41667	0.39895
166.35	0.40088
166.26667	0.40314
166.16667	0.40829
166.08333	0.40475
165.98333	0.40507
165.83333	0.40749
165.65	0.40974
165.5	0.41006
165.4	0.4128
165.3	0.41473
165.21667	0.41554
165.11667	0.41425
165.05	0.41441
165	0.41441
164.95	0.42069
164.9	0.41393
164.83333	0.4215
164.73333	0.42037
164.6	0.41506
164.53333	0.40652
164.48333	0.40185
164.41667	0.40072
164.33333	0.40668
164.26667	0.41473
164.2	0.42247
164.13333	0.41989
164.1	0.42682
164.03333	0.42279
163.96667	0.41796
163.93333	0.41699
163.9	0.41232
163.88333	0.41941
163.83333	0.41651
163.75	0.41699
163.68333	0.39734
163.65	0.41425
163.63333	0.41312
163.58333	0.40636
163.5	0.41924
163.4	0.4012
163.35	0.42698
163.25	0.4244
163.08333	0.42762
162.93333	0.43374
162.9	0.44147
162.9	0.43761
162.9	0.43519
162.9	0.43584
162.9	0.43149
162.9	0.43503
162.9	0.43567
162.9	0.43471
162.9	0.43358
162.9	0.43439
162.9	0.4339
162.88333	0.44115
162.88333	0.44244
162.88333	0.43954
162.88333	0.44131
162.88333	0.44051
162.88333	0.44099
162.88333	0.41328
162.88333	0.41151
162.85	0.40781
162.78333	0.39863
161.96667	0.43567
161.91667	0.44502
161.86667	0.44759
161.8	0.43906
161.73333	0.44969
161.68333	0.44856
161.63333	0.44888
161.55	0.44953
161.43333	0.45613
161.33333	0.45355
161.28333	0.45339
161.18333	0.44856
161.08333	0.46
160.96667	0.45807
160.85	0.46483
160.75	0.46338
160.68333	0.46209
160.63333	0.4658
160.56667	0.47111
160.53333	0.46467
160.51667	0.46258
160.46667	0.46209
160.38333	0.46515
160.21667	0.46451
160.01667	0.46628
159.81667	0.46193
159.66667	0.4666
159.51667	0.4637
159.46667	0.46564
159.4	0.46644
159.31667	0.46338
159.21667	0.47433
159.11667	0.45372
157.81667	0.46821
157.8	0.48384
157.76667	0.49334
157.7	0.49334
157.58333	0.50075
157.41667	0.50623
157.28333	0.50832
157.21667	0.50816
157.18333	0.50655
157.16667	0.51138
157.16667	0.50526
157.15	0.51138
157.13333	0.51122
157.11667	0.50913
157.05	0.51042
157.01667	0.51251
156.95	0.5109
156.81667	0.51219
156.73333	0.50494
156.73333	0.50752
156.7	0.51605
156.7	0.50913
156.7	0.508
156.7	0.50542
156.7	0.50993
156.68333	0.508
156.68333	0.51042
156.68333	0.5138
156.68333	0.50832
156.68333	0.50768
156.66667	0.51605
156.66667	0.51348
156.66667	0.51235
156.66667	0.51251
156.63333	0.50768
156.6	0.51235
156.56667	0.50881
156.5	0.51026
156.36667	0.49801
156.23333	0.51605
156.1	0.51815
155.96667	0.5196
155.86667	0.52379
155.85	0.52201
155.83333	0.52185
155.78333	0.52137
155.75	0.5225
155.28333	0.52491
155.18333	0.52636
155.06667	0.53345
154.98333	0.53232
154.91667	0.53538
154.75	0.53748
154.51667	0.54263
154.31667	0.49624
154.21667	0.50413
154.18333	0.50816
154.16667	0.51412
154.15	0.51251
154.08333	0.50027
154.06667	0.46354
154.03333	0.47739
153.96667	0.4935
153.86667	0.51605
153.83333	0.52636
153.63333	0.47723
153.53333	0.51074
153.53333	0.5225
153.51667	0.49656
152.65	0.50091
152.56667	0.51847
152.48333	0.52427
152.03333	0.51573
151.98333	0.54956
151.95	0.56857
151.95	0.57549
151.93333	0.57807
151.88333	0.58194
151.85	0.58113
151.81667	0.58516
151.7	0.58451
151.61667	0.58419
151.56667	0.58951
151.53333	0.58516
151.51667	0.58677
151.5	0.58725
151.5	0.56696
151.5	0.56567
151.5	0.56905
151.5	0.5668
151.5	0.56567
151.5	0.56518
151.5	0.56583
151.48333	0.58484
151.48333	0.58613
151.48333	0.57034
151.48333	0.56035
151.48333	0.5668
151.48333	0.55713
151.48333	0.55971
151.45	0.54505
151.35	0.50204
150.45	0.50446
150.41667	0.52298
150.41667	0.51815
150.4	0.56245
150.36667	0.53941
150.3	0.53055
150.25	0.51686
150.23333	0.56728
150.2	0.55632
150.13333	0.52878
149.3	0.55568
149.23333	0.55117
149.06667	0.58757
148.98333	0.54086
148.88333	0.56373
148.45	0.61625
148.4	0.6148
148.38333	0.61899
148.35	0.63252
148.33333	0.63815
148.33333	0.63993
