Sensor Position (Degrees)	Light Intensity (Volts)
Polarization of Light 'Brewsters' Data File Mon, Mar 16, 2026 4:23 PM	
180	0.16763
180	0.16683
180	0.16828
180	0.17166
180	0.16828
180	0.16715
180	0.17134
180	0.16925
180	0.1686
180	0.16892
180	0.16876
180	0.16667
180	0.16957
180	0.17102
180	0.16925
180	0.16876
180	0.16876
180	0.1707
180	0.17327
180	0.16876
180	0.16683
180	0.16747
180	0.1715
180	0.1715
180	0.17021
180	0.16763
180	0.16796
180	0.16699
180	0.16892
180	0.17053
180	0.16635
180	0.16812
180	0.16908
180	0.1707
180	0.16989
180	0.17053
180	0.17118
180	0.16957
180	0.16796
180	0.17279
180	0.16925
180	0.1678
180	0.17456
180	0.17295
180	0.16908
180	0.16812
180	0.17311
180	0.16957
180	0.1707
180	0.17118
180	0.17263
180	0.17086
180	0.17311
180	0.16844
180	0.16796
180	0.17005
180	0.16973
180	0.16925
180	0.16747
180	0.16908
180	0.17053
180	0.16667
180	0.17053
180	0.16699
180	0.1686
180	0.1707
180	0.16908
180	0.17295
180	0.17295
180	0.16699
180	0.16957
180	0.16812
180	0.16892
180	0.16844
180	0.16812
180	0.16876
180	0.16957
179.98333	0.16602
179.98333	0.16264
179.96667	0.1599
179.96667	0.15958
179.95	0.15555
179.95	0.15829
179.91667	0.15716
179.9	0.1533
179.86667	0.15507
179.83333	0.16151
179.76667	0.14863
179.7	0.13429
179.65	0.1293
179.58333	0.12157
179.48333	0.10578
179.38333	0.11786
179.31667	0.13413
179.26667	0.14251
179.21667	0.13945
179.16667	0.14605
179.11667	0.17166
179.05	0.17231
178.91667	0.1744
178.83333	0.1839
178.78333	0.17424
178.71667	0.17102
178.65	0.16393
178.58333	0.15394
178.55	0.15394
178.51667	0.15523
178.46667	0.14251
178.41667	0.13606
178.33333	0.15604
178.18333	0.17746
178.05	0.17472
177.98333	0.17859
177.9	0.18004
177.8	0.17698
177.73333	0.17794
177.68333	0.18519
177.61667	0.19631
177.51667	0.20484
177.41667	0.20984
177.33333	0.2071
177.23333	0.20662
177.13333	0.21306
177.03333	0.22579
176.96667	0.2245
176.91667	0.22015
176.88333	0.21676
176.78333	0.21419
176.68333	0.21676
176.61667	0.22111
176.48333	0.22965
176.4	0.23448
176.38333	0.22997
176.35	0.22256
176.3	0.22208
176.26667	0.21113
176.21667	0.20549
176.16667	0.19599
174.6	0.22208
174.51667	0.23062
174.5	0.22691
174.48333	0.22788
174.48333	0.23561
174.45	0.23787
174.4	0.2427
174.36667	0.24399
174.35	0.24173
174.31667	0.23915
174.26667	0.24721
174.18333	0.24769
174.15	0.24785
174.11667	0.24769
174.1	0.24286
174.1	0.24028
174.1	0.24093
174.1	0.24189
174.1	0.23964
174.1	0.24238
174.1	0.24511
174.08333	0.24914
174.08333	0.24431
174.08333	0.2427
174.08333	0.24189
174.08333	0.24318
174.06667	0.24576
174.06667	0.24367
174.06667	0.24608
174.06667	0.24495
174.06667	0.24753
174.05	0.24431
174.01667	0.23948
173.95	0.23964
173.85	0.23883
173.7	0.24511
173.58333	0.24592
173.48333	0.24914
173.4	0.25204
173.28333	0.25397
173.18333	0.25317
173.06667	0.25542
172.96667	0.2551
172.88333	0.25784
