Polarization of Light 'cos(theta)' Data File Mon, Mar 9, 2026 4:31 PM
Sensor Position (Radians)	Light Intensity (Volts)
1.00000	3.25591
1.00000	3.25640
1.00000	3.25624
1.00000	3.25430
1.00000	3.25704
1.00000	3.25753
1.00000	3.25463
1.00000	3.25688
1.00000	3.25511
1.00000	3.25785
1.00000	3.25753
1.00000	3.25624
1.00000	3.25881
1.00000	3.25914
1.00000	3.25495
1.00000	3.25720
1.00000	3.25543
1.00000	3.25624
1.00000	3.25608
1.00000	3.25769
1.00000	3.25640
1.00000	3.25575
1.00000	3.25382
1.00000	3.25624
1.00000	3.25930
1.00000	3.25769
1.00000	3.25736
1.00000	3.25591
1.00000	3.25720
1.00000	3.25527
1.00000	3.25817
1.00000	3.25736
1.00000	3.25575
1.00000	3.25865
0.99999	3.26751
0.99999	3.26912
0.99999	3.26848
0.99999	3.26784
0.99999	3.27251
0.99996	3.28443
0.99939	3.39880
0.99905	3.44229
0.99905	3.44310
0.99905	3.44229
0.99885	3.46565
0.99839	3.51236
0.99813	3.52573
0.99786	3.54007
0.99725	3.56584
0.99725	3.57809
0.99580	3.63221
0.99406	3.69665
0.99357	3.71308
0.99307	3.72629
0.99200	3.75383
0.99144	3.76301
0.99087	3.78009
0.98965	3.81279
0.98769	3.84968
0.98481	3.91250
0.97905	4.01044
0.97723	4.04089
0.97723	4.04830
0.97534	4.06151
0.97437	4.07681
0.97134	4.12014
0.96815	4.15768
0.96479	4.21357
0.96363	4.22405
0.96246	4.23226
0.96005	4.25272
0.95502	4.29831
0.94832	4.34728
0.94552	4.37579
0.94409	4.38658
0.94264	4.39125
0.94118	4.41236
0.93819	4.43282
0.93667	4.44490
0.93514	4.44780
0.92881	4.47728
0.90996	4.53092
0.89101	4.57747
0.88902	4.58891
0.88902	4.58569
0.88902	4.58424
0.88902	4.58343
0.88902	4.58311
0.89101	4.58166
0.89101	4.57989
0.89101	4.58070
0.89101	4.58053
0.89101	4.58086
0.89101	4.57860
0.89101	4.57892
0.89101	4.57844
0.88295	4.60405
0.87462	4.63208
0.86384	4.67139
0.86384	4.67622
0.86163	4.67977
0.85035	4.68138
0.82165	4.65673
0.79069	4.61742
0.78261	4.60357
0.78261	4.60244
0.77988	4.59809
0.76884	4.58585
0.75184	4.55154
0.74314	4.53607
0.74314	4.53607
0.74314	4.53205
0.74314	4.53398
0.73728	4.52528
0.73728	4.52480
0.73432	4.51545
0.72837	4.49838
0.72236	4.48807
0.71934	4.47631
0.70711	4.44892
0.70711	4.44393
0.70091	4.43217
0.70091	4.43265
0.69779	4.41832
0.69466	4.41316
0.69466	4.41542
0.68835	4.39947
0.68518	4.39432
0.68200	4.38223
0.68200	4.37788
0.66913	4.34132
0.63944	4.27205
0.62932	4.23935
0.62932	4.23870
0.62932	4.24209
0.63271	4.25175
0.63271	4.26770
0.63608	4.27882
0.63608	4.28945
0.63608	4.27865
0.63608	4.27704
0.63608	4.27592
0.63608	4.28236
0.63608	4.28365
0.63608	4.27914
0.63608	4.28059
0.63608	4.27720
0.63271	4.26867
0.61566	4.19102
0.59832	4.12675
0.55919	3.98129
0.53730	3.88657
0.52992	3.84919
0.52621	3.82745
0.51504	3.78041
0.50000	3.71791
0.48481	3.65202
0.47332	3.58936
0.46175	3.54329
0.45399	3.50302
0.43837	3.42489
0.42657	3.36690
0.41866	3.32260
0.41072	3.28700
0.39474	3.20324
0.36650	3.08098
0.35429	3.01606
0.35429	3.01348
0.35021	2.98642
0.35021	2.98416
0.34202	2.95034
0.33792	2.91474
0.32557	2.86448
0.31730	2.82856
0.31316	2.80311
0.31316	2.80343
0.31316	2.80069
0.30486	2.76799
0.29237	2.69937
0.29237	2.68841
0.29237	2.68374
0.29237	2.68406
0.29237	2.68197
0.28820	2.67601
0.27983	2.62495
0.26303	2.54956
0.24615	2.47192
0.23769	2.43100
0.23769	2.42697
0.23769	2.41505
0.22920	2.38445
0.22495	2.35980
0.21218	2.28619
0.19937	2.24157
0.19509	2.19952
0.18652	2.16167
0.17365	2.11834
0.16935	2.08532
0.16935	2.07968
0.16505	2.05181
0.16074	2.04311
0.15643	2.02701
0.15212	2.00912
0.14781	1.96982
0.13917	1.93390
0.12620	1.87414
0.10019	1.75188
0.08281	1.67520
0.07846	1.64298
0.07411	1.62494
0.06976	1.61286
0.06540	1.59740
0.06105	1.56293
0.05669	1.55278
0.05669	1.54891
0.05669	1.54199
0.05669	1.54360
0.05669	1.54585
0.05669	1.54698
0.05669	1.54827
0.05669	1.54891
0.05669	1.55229
0.05669	1.55133
0.05669	1.55197
0.05669	1.55310
0.05669	1.54891
0.05669	1.54488
0.05234	1.53715
0.04362	1.50993
0.00873	1.36318
-0.04362	1.14894
-0.06540	1.04779
-0.07846	0.99721
-0.08281	0.97562
-0.10453	0.89685
-0.10887	0.88042
-0.12187	0.82759
-0.13485	0.78474
-0.13917	0.76960
-0.14349	0.76058
-0.14781	0.73625
-0.16074	0.69759
-0.17365	0.66119
-0.18224	0.62801
-0.19081	0.60433
-0.19081	0.59370
-0.19509	0.58033
-0.23345	0.47772
-0.29654	0.32727
-0.31730	0.26767
-0.32144	0.26026
-0.32144	0.26138
-0.32144	0.25655
-0.32144	0.25816
-0.32144	0.25881
-0.32144	0.25623
-0.32144	0.25736
-0.32144	0.25977
-0.32144	0.25623
-0.32144	0.25575
-0.32144	0.25913
-0.32144	0.25865
-0.32144	0.25768
-0.32144	0.25687
-0.32144	0.25623
-0.32144	0.25607
-0.32144	0.25526
-0.32144	0.25575
-0.32144	0.25704
-0.32144	0.25720
-0.32969	0.24189
-0.33792	0.22965
-0.35429	0.19599
-0.35837	0.18439
-0.36650	0.17649
-0.38268	0.14170
-0.38671	0.13542
-0.39875	0.11995
-0.41866	0.09869
-0.45010	0.06100
-0.49242	0.03410
-0.49622	0.03136
-0.49622	0.03281
-0.49622	0.03184
-0.49622	0.03088
-0.49622	0.03281
-0.49622	0.03152
-0.49622	0.02943
-0.49622	0.03200
-0.49622	0.03007
-0.49622	0.03297
-0.49622	0.03184
-0.49622	0.03265
-0.49622	0.03039
-0.49622	0.03265
-0.49622	0.03313
-0.49622	0.03184
-0.49622	0.03152
-0.49622	0.03216
-0.49622	0.03072
-0.50754	0.03007
-0.51129	0.02572
-0.53361	0.02524
-0.54829	0.02653
-0.57000	0.03700
-0.58070	0.04183
-0.59131	0.05391
-0.60529	0.06486
-0.61566	0.07566
-0.62932	0.09531
-0.65276	0.13059
-0.67880	0.18197
-0.67880	0.18535
-0.67880	0.18696
-0.67880	0.18455
-0.67880	0.18600
-0.67880	0.18503
-0.67880	0.18519
-0.67880	0.18713
-0.67880	0.18262
-0.67880	0.18117
-0.67880	0.18197
-0.67880	0.18535
-0.67880	0.18374
-0.67880	0.18374
-0.67880	0.18213
-0.68200	0.19212
-0.70711	0.25172
-0.71325	0.26976
-0.72537	0.30890
-0.74896	0.38477
-0.75756	0.41924
-0.76884	0.46209
-0.77988	0.51912
-0.79069	0.55890
-0.79600	0.58983
-0.80386	0.62833
-0.81412	0.67939
-0.81412	0.68873
-0.83147	0.77330
-0.84573	0.87188
-0.86163	0.96869
-0.88089	1.10545
-0.88902	1.18744
-0.89298	1.21998
-0.89687	1.25413
-0.90446	1.31631
-0.90631	1.34917
-0.91176	1.40442
-0.91706	1.44824
-0.92554	1.54070
-0.93201	1.62575
-0.93358	1.64347
-0.93358	1.64395
-0.93358	1.64556
-0.93358	1.64105
-0.93358	1.64846
-0.93358	1.64588
-0.93358	1.64218
-0.93358	1.64025
-0.93358	1.64121
-0.93358	1.63348
-0.93358	1.63509
-0.93358	1.63332
-0.93358	1.63380
-0.93358	1.63493
-0.93358	1.64170
-0.93514	1.66521
-0.93819	1.69695
-0.94832	1.82098
-0.96126	2.02974
-0.96593	2.09933
-0.96705	2.12140
-0.97237	2.23126
-0.97338	2.24672
-0.97723	2.32968
-0.97815	2.35996
-0.98163	2.42359
-0.98404	2.49431
-0.98556	2.53184
-0.98629	2.55165
-0.98769	2.58097
-0.98965	2.65265
-0.99255	2.74367
-0.99406	2.80504
-0.99540	2.87978
-0.99540	2.87575
-0.99725	2.95565
-0.99839	3.03330
-0.99939	3.11851
-0.99991	3.22853
-1.00000	3.29425
