Polarization of Light 'cos squared(2xtheta)'  Data File Mon, Mar 9, 2026 4:38 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.54030	3.13736
0.54030	3.13752
0.54030	3.13671
0.54030	3.14171
0.54030	3.13784
0.54030	3.13945
0.54030	3.13768
0.54030	3.13655
0.54030	3.13800
0.54030	3.13848
0.54030	3.14042
0.54030	3.14219
0.54030	3.13993
0.54030	3.14154
0.54030	3.14283
0.54030	3.13993
0.54030	3.14058
0.54030	3.13784
0.54030	3.14235
0.54030	3.14122
0.54030	3.14203
0.54030	3.14026
0.54030	3.13913
0.54030	3.14251
0.54030	3.14106
0.54030	3.14187
0.54030	3.14187
0.54030	3.14251
0.54030	3.14348
0.54030	3.14154
0.54030	3.14299
0.54030	3.14106
0.54030	3.14316
0.54030	3.14477
0.54030	3.14187
0.54030	3.14138
0.54030	3.14299
0.54030	3.14267
0.54030	3.14477
0.54030	3.14622
0.54030	3.14364
0.54030	3.14686
0.54033	3.15556
0.54033	3.15910
0.54033	3.15765
0.54043	3.17118
0.54043	3.18020
0.54043	3.18375
0.54059	3.18778
0.54059	3.19470
0.54081	3.20533
0.54081	3.21419
0.54110	3.22998
0.54110	3.23481
0.54146	3.24045
0.54146	3.25302
0.54187	3.26284
0.54187	3.27396
0.54235	3.27879
0.54235	3.29023
0.54289	3.30424
0.54350	3.31584
0.54417	3.32309
0.54417	3.32969
0.54417	3.33742
0.54490	3.34741
0.54490	3.35627
0.54570	3.36658
0.54656	3.37786
0.54656	3.38672
0.54748	3.39831
0.54847	3.41088
0.54847	3.42103
0.54951	3.43488
0.55062	3.45389
0.55179	3.47064
0.55432	3.48836
0.55432	3.50463
0.55709	3.52187
0.55856	3.53878
0.56009	3.55360
0.56169	3.57132
0.56334	3.58453
0.56334	3.59661
0.56506	3.60531
0.56683	3.61949
0.56866	3.63076
0.57054	3.64494
0.57054	3.65637
0.57249	3.66459
0.57449	3.67957
0.57654	3.68795
0.57866	3.70067
0.58082	3.71710
0.58305	3.73515
0.58532	3.74868
0.58765	3.76205
0.58765	3.77075
0.59004	3.78025
0.59247	3.79700
0.59496	3.81810
0.59750	3.82858
0.60273	3.84420
0.60542	3.86933
0.60816	3.88689
0.61094	3.89398
0.61094	3.90026
0.61094	3.89978
0.61094	3.89688
0.61094	3.89865
0.61094	3.89768
0.61094	3.90187
0.61094	3.90010
0.61094	3.89945
0.61094	3.89543
0.61094	3.89929
0.61094	3.90187
0.61094	3.90026
0.61094	3.89945
0.61094	3.90123
0.61094	3.90284
0.61094	3.89945
0.61094	3.89913
0.61094	3.90123
0.61094	3.89994
0.61094	3.90074
0.61094	3.90364
0.61094	3.89800
0.61094	3.90042
0.61378	3.90880
0.61666	3.92442
0.62255	3.95438
0.62863	3.97855
0.63488	3.99820
0.64129	4.02204
0.64786	4.05088
0.65458	4.07746
0.66145	4.09679
0.66845	4.11660
0.67559	4.13529
0.68284	4.16074
0.69021	4.17942
0.69768	4.20101
0.70526	4.22002
0.70908	4.23548
0.71292	4.24434
0.71678	4.25030
0.71678	4.25803
0.72456	4.26609
0.72847	4.27785
0.73240	4.28461
0.73634	4.29412
0.74030	4.30620
0.74825	4.31844
0.75224	4.33004
0.75624	4.34470
0.76024	4.34889
0.76426	4.35775
0.76827	4.36419
0.77229	4.37209
0.78034	4.38272
0.78436	4.39464
0.78436	4.39432
0.78436	4.39609
0.78436	4.39464
0.78436	4.39287
0.78436	4.39158
0.78436	4.39367
0.78436	4.39142
0.78436	4.38948
0.78436	4.38803
0.78436	4.39061
0.78436	4.38980
0.78436	4.39335
0.78436	4.38980
0.78436	4.39206
0.78436	4.38964
0.78436	4.38836
0.78436	4.39480
0.78838	4.39738
0.79642	4.41187
0.80443	4.42669
0.81241	4.43620
0.81639	4.44602
0.82431	4.45891
0.83217	4.46922
0.83997	4.47583
0.84768	4.48710
0.85151	4.49290
0.85909	4.50031
0.86285	4.50482
0.87027	4.51417
0.87758	4.52415
0.88476	4.53092
0.88830	4.52431
0.89181	4.52770
0.89527	4.52899
0.89870	4.53172
0.90544	4.54010
0.91202	4.54268
0.91842	4.54864
0.92155	4.55637
0.92767	4.56056
0.93065	4.56008
0.93359	4.56281
0.93647	4.56346
0.93647	4.56072
0.94208	4.56507
0.94480	4.56056
0.94747	4.55750
0.95008	4.55975
0.95513	4.55782
0.95756	4.55557
0.96225	4.55363
0.96450	4.54993
0.96882	4.54606
0.97288	4.53752
0.97481	4.53140
0.97667	4.52979
0.97846	4.52415
0.98185	4.51980
0.98496	4.51127
0.98779	4.50418
0.98910	4.49612
0.99149	4.48791
0.99258	4.47889
0.99360	4.46987
0.99541	4.46246
0.99692	4.45150
0.99814	4.43362
0.99939	4.41767
0.99985	4.39995
1.00000	4.38046
0.99996	4.36725
0.99985	4.35759
0.99966	4.34792
0.99939	4.33407
0.99905	4.32489
0.99814	4.31200
0.99757	4.29927
0.99692	4.28735
0.99620	4.27592
0.99541	4.26287
0.99454	4.25288
0.99360	4.24837
0.99360	4.24032
0.99360	4.24853
0.99360	4.25626
0.99360	4.25755
0.99360	4.26045
0.99360	4.25642
0.99360	4.25948
0.99360	4.25771
0.99360	4.25771
0.99360	4.25787
0.99360	4.25723
0.99360	4.26206
0.99360	4.26174
0.99360	4.25836
0.99360	4.25820
0.99360	4.25820
0.99360	4.25852
0.99360	4.25916
0.99360	4.25884
0.99360	4.25787
0.99360	4.25159
0.99258	4.24225
0.99149	4.22598
0.99033	4.21422
0.98910	4.20230
0.98641	4.19602
0.98496	4.16847
0.98185	4.14640
0.98019	4.12707
0.97667	4.10613
0.97481	4.08744
0.97288	4.08019
0.97288	4.07101
0.97088	4.05877
0.96669	4.04073
0.96225	4.01125
0.95994	3.99160
0.95756	3.97613
0.95263	3.95374
0.95008	3.93344
0.94480	3.90558
0.93930	3.87352
0.93359	3.84227
0.92767	3.80699
0.92155	3.78186
0.91842	3.75367
0.91202	3.73015
0.90544	3.69278
0.89870	3.65943
0.89181	3.62609
0.88830	3.59871
0.88119	3.58018
0.87758	3.55070
0.87027	3.52187
0.86657	3.49851
0.85909	3.46694
0.85151	3.43810
0.84768	3.40862
0.83997	3.38043
0.83997	3.36497
0.83608	3.35450
0.83217	3.34032
0.82431	3.30875
0.81639	3.26365
0.80443	3.21226
0.79642	3.16973
0.78838	3.13446
0.78034	3.10079
0.77631	3.07115
0.76827	3.04264
0.76426	3.00929
0.75624	2.97273
0.74825	2.93519
0.74030	2.89589
0.72847	2.84547
0.72066	2.79988
0.71292	2.76348
0.70908	2.73609
0.70526	2.70984
0.69768	2.68648
0.69393	2.66167
0.69021	2.63703
0.68651	2.61399
0.67920	2.58178
0.67200	2.54118
0.66845	2.51154
0.66145	2.47755
0.65800	2.44856
0.65120	2.41570
0.64455	2.38348
0.64129	2.35851
0.63806	2.33032
0.63173	2.30922
0.63173	2.28442
0.62557	2.26396
0.62255	2.23996
0.61666	2.20822
0.61378	2.17214
0.60542	2.12575
0.60009	2.07903
0.59750	2.05342
0.59496	2.03248
0.59247	2.01396
0.59004	2.00349
0.58765	1.97997
0.58532	1.95403
0.58082	1.91763
0.57654	1.88960
0.57249	1.85046
0.57054	1.81937
0.56866	1.79682
0.56683	1.79231
0.56683	1.79005
0.56683	1.78957
0.56683	1.79376
0.56683	1.79408
0.56866	1.80262
0.56866	1.80358
0.56866	1.80262
0.56866	1.80036
0.56866	1.79827
0.56866	1.79666
0.56866	1.79730
0.56866	1.79650
0.56866	1.80036
0.56866	1.79907
0.56866	1.80084
0.56866	1.79891
0.56866	1.80068
0.56866	1.80374
0.56866	1.79923
0.56866	1.79488
0.56683	1.79311
0.56334	1.75365
0.56169	1.72111
0.55709	1.67794
0.55567	1.64701
0.55302	1.61657
0.55179	1.58516
0.54951	1.56035
0.54748	1.52813
0.54656	1.49978
0.54490	1.47369
0.54417	1.44550
0.54350	1.42311
0.54289	1.40684
0.54187	1.37768
0.54110	1.34192
0.54059	1.31035
0.54033	1.27282
0.54030	1.24350
