Polarization of Light 'cos squared(theta)'  Data File Mon, Mar 9, 2026 4:38 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.54030	3.13736
0.54030	3.13752
0.54030	3.13671
0.54030	3.14171
0.54030	3.13784
0.54030	3.13945
0.54030	3.13768
0.54030	3.13655
0.54030	3.13800
0.54030	3.13848
0.54030	3.14042
0.54030	3.14219
0.54030	3.13993
0.54030	3.14154
0.54030	3.14283
0.54030	3.13993
0.54030	3.14058
0.54030	3.13784
0.54030	3.14235
0.54030	3.14122
0.54030	3.14203
0.54030	3.14026
0.54030	3.13913
0.54030	3.14251
0.54030	3.14106
0.54030	3.14187
0.54030	3.14187
0.54030	3.14251
0.54030	3.14348
0.54030	3.14154
0.54030	3.14299
0.54030	3.14106
0.54030	3.14316
0.54030	3.14477
0.54030	3.14187
0.54030	3.14138
0.54030	3.14299
0.54030	3.14267
0.54030	3.14477
0.54030	3.14622
0.54030	3.14364
0.54030	3.14686
0.54031	3.15556
0.54031	3.15910
0.54031	3.15765
0.54033	3.17118
0.54033	3.18020
0.54033	3.18375
0.54037	3.18778
0.54037	3.19470
0.54043	3.20533
0.54043	3.21419
0.54050	3.22998
0.54050	3.23481
0.54059	3.24045
0.54059	3.25302
0.54069	3.26284
0.54069	3.27396
0.54081	3.27879
0.54081	3.29023
0.54095	3.30424
0.54110	3.31584
0.54127	3.32309
0.54127	3.32969
0.54127	3.33742
0.54146	3.34741
0.54146	3.35627
0.54165	3.36658
0.54187	3.37786
0.54187	3.38672
0.54210	3.39831
0.54235	3.41088
0.54235	3.42103
0.54261	3.43488
0.54289	3.45389
0.54319	3.47064
0.54383	3.48836
0.54383	3.50463
0.54453	3.52187
0.54490	3.53878
0.54529	3.55360
0.54570	3.57132
0.54612	3.58453
0.54612	3.59661
0.54656	3.60531
0.54701	3.61949
0.54748	3.63076
0.54797	3.64494
0.54797	3.65637
0.54847	3.66459
0.54898	3.67957
0.54951	3.68795
0.55006	3.70067
0.55062	3.71710
0.55120	3.73515
0.55179	3.74868
0.55240	3.76205
0.55240	3.77075
0.55302	3.78025
0.55366	3.79700
0.55432	3.81810
0.55499	3.82858
0.55637	3.84420
0.55709	3.86933
0.55782	3.88689
0.55856	3.89398
0.55856	3.90026
0.55856	3.89978
0.55856	3.89688
0.55856	3.89865
0.55856	3.89768
0.55856	3.90187
0.55856	3.90010
0.55856	3.89945
0.55856	3.89543
0.55856	3.89929
0.55856	3.90187
0.55856	3.90026
0.55856	3.89945
0.55856	3.90123
0.55856	3.90284
0.55856	3.89945
0.55856	3.89913
0.55856	3.90123
0.55856	3.89994
0.55856	3.90074
0.55856	3.90364
0.55856	3.89800
0.55856	3.90042
0.55932	3.90880
0.56009	3.92442
0.56169	3.95438
0.56334	3.97855
0.56506	3.99820
0.56683	4.02204
0.56866	4.05088
0.57054	4.07746
0.57249	4.09679
0.57449	4.11660
0.57654	4.13529
0.57866	4.16074
0.58082	4.17942
0.58305	4.20101
0.58532	4.22002
0.58648	4.23548
0.58765	4.24434
0.58884	4.25030
0.58884	4.25803
0.59125	4.26609
0.59247	4.27785
0.59371	4.28461
0.59496	4.29412
0.59622	4.30620
0.59879	4.31844
0.60009	4.33004
0.60140	4.34470
0.60273	4.34889
0.60407	4.35775
0.60542	4.36419
0.60678	4.37209
0.60954	4.38272
0.61094	4.39464
0.61094	4.39432
0.61094	4.39609
0.61094	4.39464
0.61094	4.39287
0.61094	4.39158
0.61094	4.39367
0.61094	4.39142
0.61094	4.38948
0.61094	4.38803
0.61094	4.39061
0.61094	4.38980
0.61094	4.39335
0.61094	4.38980
0.61094	4.39206
0.61094	4.38964
0.61094	4.38836
0.61094	4.39480
0.61235	4.39738
0.61521	4.41187
0.61811	4.42669
0.62106	4.43620
0.62255	4.44602
0.62557	4.45891
0.62863	4.46922
0.63173	4.47583
0.63488	4.48710
0.63646	4.49290
0.63967	4.50031
0.64129	4.50482
0.64455	4.51417
0.64786	4.52415
0.65120	4.53092
0.65289	4.52431
0.65458	4.52770
0.65629	4.52899
0.65800	4.53172
0.66145	4.54010
0.66493	4.54268
0.66845	4.54864
0.67022	4.55637
0.67379	4.56056
0.67559	4.56008
0.67739	4.56281
0.67920	4.56346
0.67920	4.56072
0.68284	4.56507
0.68467	4.56056
0.68651	4.55750
0.68836	4.55975
0.69207	4.55782
0.69393	4.55557
0.69768	4.55363
0.69957	4.54993
0.70336	4.54606
0.70716	4.53752
0.70908	4.53140
0.71099	4.52979
0.71292	4.52415
0.71678	4.51980
0.72066	4.51127
0.72456	4.50418
0.72651	4.49612
0.73043	4.48791
0.73240	4.47889
0.73437	4.46987
0.73832	4.46246
0.74228	4.45150
0.74626	4.43362
0.75224	4.41767
0.75624	4.39995
0.76024	4.38046
0.76225	4.36725
0.76426	4.35759
0.76626	4.34792
0.76827	4.33407
0.77028	4.32489
0.77430	4.31200
0.77631	4.29927
0.77833	4.28735
0.78034	4.27592
0.78235	4.26287
0.78436	4.25288
0.78637	4.24837
0.78637	4.24032
0.78637	4.24853
0.78637	4.25626
0.78637	4.25755
0.78637	4.26045
0.78637	4.25642
0.78637	4.25948
0.78637	4.25771
0.78637	4.25771
0.78637	4.25787
0.78637	4.25723
0.78637	4.26206
0.78637	4.26174
0.78637	4.25836
0.78637	4.25820
0.78637	4.25820
0.78637	4.25852
0.78637	4.25916
0.78637	4.25884
0.78637	4.25787
0.78637	4.25159
0.78838	4.24225
0.79039	4.22598
0.79240	4.21422
0.79441	4.20230
0.79842	4.19602
0.80043	4.16847
0.80443	4.14640
0.80643	4.12707
0.81042	4.10613
0.81241	4.08744
0.81440	4.08019
0.81440	4.07101
0.81639	4.05877
0.82036	4.04073
0.82431	4.01125
0.82628	3.99160
0.82825	3.97613
0.83217	3.95374
0.83413	3.93344
0.83802	3.90558
0.84190	3.87352
0.84576	3.84227
0.84960	3.80699
0.85342	3.78186
0.85531	3.75367
0.85909	3.73015
0.86285	3.69278
0.86657	3.65943
0.87027	3.62609
0.87211	3.59871
0.87577	3.58018
0.87758	3.55070
0.88119	3.52187
0.88298	3.49851
0.88654	3.46694
0.89006	3.43810
0.89181	3.40862
0.89527	3.38043
0.89527	3.36497
0.89699	3.35450
0.89870	3.34032
0.90209	3.30875
0.90544	3.26365
0.91039	3.21226
0.91363	3.16973
0.91683	3.13446
0.91999	3.10079
0.92155	3.07115
0.92463	3.04264
0.92615	3.00929
0.92917	2.97273
0.93213	2.93519
0.93504	2.89589
0.93930	2.84547
0.94208	2.79988
0.94480	2.76348
0.94614	2.73609
0.94747	2.70984
0.95008	2.68648
0.95136	2.66167
0.95263	2.63703
0.95389	2.61399
0.95635	2.58178
0.95876	2.54118
0.95994	2.51154
0.96225	2.47755
0.96339	2.44856
0.96561	2.41570
0.96776	2.38348
0.96882	2.35851
0.96986	2.33032
0.97189	2.30922
0.97189	2.28442
0.97385	2.26396
0.97481	2.23996
0.97667	2.20822
0.97757	2.17214
0.98019	2.12575
0.98185	2.07903
0.98265	2.05342
0.98344	2.03248
0.98421	2.01396
0.98496	2.00349
0.98569	1.97997
0.98641	1.95403
0.98779	1.91763
0.98910	1.88960
0.99033	1.85046
0.99092	1.81937
0.99149	1.79682
0.99205	1.79231
0.99205	1.79005
0.99205	1.78957
0.99205	1.79376
0.99205	1.79408
0.99149	1.80262
0.99149	1.80358
0.99149	1.80262
0.99149	1.80036
0.99149	1.79827
0.99149	1.79666
0.99149	1.79730
0.99149	1.79650
0.99149	1.80036
0.99149	1.79907
0.99149	1.80084
0.99149	1.79891
0.99149	1.80068
0.99149	1.80374
0.99149	1.79923
0.99149	1.79488
0.99205	1.79311
0.99310	1.75365
0.99360	1.72111
0.99499	1.67794
0.99541	1.64701
0.99620	1.61657
0.99657	1.58516
0.99726	1.56035
0.99786	1.52813
0.99814	1.49978
0.99863	1.47369
0.99885	1.44550
0.99905	1.42311
0.99923	1.40684
0.99953	1.37768
0.99976	1.34192
0.99991	1.31035
0.99999	1.27282
1.00000	1.24350
