Polarization of Light 'theta' Data File Mon, Mar 9, 2026 4:36 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	3.13736
0.00000	3.13752
0.00000	3.13671
0.00000	3.14171
0.00000	3.13784
0.00000	3.13945
0.00000	3.13768
0.00000	3.13655
0.00000	3.13800
0.00000	3.13848
0.00000	3.14042
0.00000	3.14219
0.00000	3.13993
0.00000	3.14154
0.00000	3.14283
0.00000	3.13993
0.00000	3.14058
0.00000	3.13784
0.00000	3.14235
0.00000	3.14122
0.00000	3.14203
0.00000	3.14026
0.00000	3.13913
0.00000	3.14251
0.00000	3.14106
0.00000	3.14187
0.00000	3.14187
0.00000	3.14251
0.00000	3.14348
0.00000	3.14154
0.00000	3.14299
0.00000	3.14106
0.00000	3.14316
0.00000	3.14477
0.00000	3.14187
0.00000	3.14138
0.00000	3.14299
0.00000	3.14267
0.00000	3.14477
0.00000	3.14622
0.00000	3.14364
0.00000	3.14686
0.00436	3.15556
0.00436	3.15910
0.00436	3.15765
0.00873	3.17118
0.00873	3.18020
0.00873	3.18375
0.01309	3.18778
0.01309	3.19470
0.01745	3.20533
0.01745	3.21419
0.02182	3.22998
0.02182	3.23481
0.02618	3.24045
0.02618	3.25302
0.03054	3.26284
0.03054	3.27396
0.03491	3.27879
0.03491	3.29023
0.03927	3.30424
0.04363	3.31584
0.04800	3.32309
0.04800	3.32969
0.04800	3.33742
0.05236	3.34741
0.05236	3.35627
0.05672	3.36658
0.06109	3.37786
0.06109	3.38672
0.06545	3.39831
0.06981	3.41088
0.06981	3.42103
0.07418	3.43488
0.07854	3.45389
0.08290	3.47064
0.09163	3.48836
0.09163	3.50463
0.10036	3.52187
0.10472	3.53878
0.10908	3.55360
0.11345	3.57132
0.11781	3.58453
0.11781	3.59661
0.12217	3.60531
0.12654	3.61949
0.13090	3.63076
0.13526	3.64494
0.13526	3.65637
0.13963	3.66459
0.14399	3.67957
0.14835	3.68795
0.15272	3.70067
0.15708	3.71710
0.16144	3.73515
0.16581	3.74868
0.17017	3.76205
0.17017	3.77075
0.17453	3.78025
0.17890	3.79700
0.18326	3.81810
0.18762	3.82858
0.19635	3.84420
0.20071	3.86933
0.20508	3.88689
0.20944	3.89398
0.20944	3.90026
0.20944	3.89978
0.20944	3.89688
0.20944	3.89865
0.20944	3.89768
0.20944	3.90187
0.20944	3.90010
0.20944	3.89945
0.20944	3.89543
0.20944	3.89929
0.20944	3.90187
0.20944	3.90026
0.20944	3.89945
0.20944	3.90123
0.20944	3.90284
0.20944	3.89945
0.20944	3.89913
0.20944	3.90123
0.20944	3.89994
0.20944	3.90074
0.20944	3.90364
0.20944	3.89800
0.20944	3.90042
0.21380	3.90880
0.21817	3.92442
0.22689	3.95438
0.23562	3.97855
0.24435	3.99820
0.25307	4.02204
0.26180	4.05088
0.27053	4.07746
0.27925	4.09679
0.28798	4.11660
0.29671	4.13529
0.30543	4.16074
0.31416	4.17942
0.32289	4.20101
0.33161	4.22002
0.33598	4.23548
0.34034	4.24434
0.34470	4.25030
0.34470	4.25803
0.35343	4.26609
0.35779	4.27785
0.36216	4.28461
0.36652	4.29412
0.37088	4.30620
0.37961	4.31844
0.38397	4.33004
0.38834	4.34470
0.39270	4.34889
0.39706	4.35775
0.40143	4.36419
0.40579	4.37209
0.41452	4.38272
0.41888	4.39464
0.41888	4.39432
0.41888	4.39609
0.41888	4.39464
0.41888	4.39287
0.41888	4.39158
0.41888	4.39367
0.41888	4.39142
0.41888	4.38948
0.41888	4.38803
0.41888	4.39061
0.41888	4.38980
0.41888	4.39335
0.41888	4.38980
0.41888	4.39206
0.41888	4.38964
0.41888	4.38836
0.41888	4.39480
0.42324	4.39738
0.43197	4.41187
0.44070	4.42669
0.44942	4.43620
0.45379	4.44602
0.46251	4.45891
0.47124	4.46922
0.47997	4.47583
0.48869	4.48710
0.49306	4.49290
0.50178	4.50031
0.50615	4.50482
0.51487	4.51417
0.52360	4.52415
0.53233	4.53092
0.53669	4.52431
0.54105	4.52770
0.54542	4.52899
0.54978	4.53172
0.55851	4.54010
0.56723	4.54268
0.57596	4.54864
0.58032	4.55637
0.58905	4.56056
0.59341	4.56008
0.59778	4.56281
0.60214	4.56346
0.60214	4.56072
0.61087	4.56507
0.61523	4.56056
0.61959	4.55750
0.62396	4.55975
0.63268	4.55782
0.63705	4.55557
0.64577	4.55363
0.65014	4.54993
0.65886	4.54606
0.66759	4.53752
0.67195	4.53140
0.67632	4.52979
0.68068	4.52415
0.68941	4.51980
0.69813	4.51127
0.70686	4.50418
0.71122	4.49612
0.71995	4.48791
0.72431	4.47889
0.72867	4.46987
0.73740	4.46246
0.74613	4.45150
0.75485	4.43362
0.76794	4.41767
0.77667	4.39995
0.78540	4.38046
0.78976	4.36725
0.79412	4.35759
0.79849	4.34792
0.80285	4.33407
0.80721	4.32489
0.81594	4.31200
0.82030	4.29927
0.82467	4.28735
0.82903	4.27592
0.83339	4.26287
0.83776	4.25288
0.84212	4.24837
0.84212	4.24032
0.84212	4.24853
0.84212	4.25626
0.84212	4.25755
0.84212	4.26045
0.84212	4.25642
0.84212	4.25948
0.84212	4.25771
0.84212	4.25771
0.84212	4.25787
0.84212	4.25723
0.84212	4.26206
0.84212	4.26174
0.84212	4.25836
0.84212	4.25820
0.84212	4.25820
0.84212	4.25852
0.84212	4.25916
0.84212	4.25884
0.84212	4.25787
0.84212	4.25159
0.84648	4.24225
0.85085	4.22598
0.85521	4.21422
0.85957	4.20230
0.86830	4.19602
0.87266	4.16847
0.88139	4.14640
0.88575	4.12707
0.89448	4.10613
0.89884	4.08744
0.90321	4.08019
0.90321	4.07101
0.90757	4.05877
0.91630	4.04073
0.92502	4.01125
0.92939	3.99160
0.93375	3.97613
0.94248	3.95374
0.94684	3.93344
0.95557	3.90558
0.96429	3.87352
0.97302	3.84227
0.98175	3.80699
0.99047	3.78186
0.99484	3.75367
1.00356	3.73015
1.01229	3.69278
1.02102	3.65943
1.02974	3.62609
1.03411	3.59871
1.04283	3.58018
1.04720	3.55070
1.05592	3.52187
1.06029	3.49851
1.06901	3.46694
1.07774	3.43810
1.08210	3.40862
1.09083	3.38043
1.09083	3.36497
1.09519	3.35450
1.09956	3.34032
1.10828	3.30875
1.11701	3.26365
1.13010	3.21226
1.13883	3.16973
1.14755	3.13446
1.15628	3.10079
1.16064	3.07115
1.16937	3.04264
1.17373	3.00929
1.18246	2.97273
1.19119	2.93519
1.19991	2.89589
1.21300	2.84547
1.22173	2.79988
1.23046	2.76348
1.23482	2.73609
1.23918	2.70984
1.24791	2.68648
1.25227	2.66167
1.25664	2.63703
1.26100	2.61399
1.26973	2.58178
1.27845	2.54118
1.28282	2.51154
1.29154	2.47755
1.29591	2.44856
1.30463	2.41570
1.31336	2.38348
1.31772	2.35851
1.32209	2.33032
1.33081	2.30922
1.33081	2.28442
1.33954	2.26396
1.34390	2.23996
1.35263	2.20822
1.35699	2.17214
1.37008	2.12575
1.37881	2.07903
1.38317	2.05342
1.38754	2.03248
1.39190	2.01396
1.39626	2.00349
1.40063	1.97997
1.40499	1.95403
1.41372	1.91763
1.42244	1.88960
1.43117	1.85046
1.43553	1.81937
1.43990	1.79682
1.44426	1.79231
1.44426	1.79005
1.44426	1.78957
1.44426	1.79376
1.44426	1.79408
1.43990	1.80262
1.43990	1.80358
1.43990	1.80262
1.43990	1.80036
1.43990	1.79827
1.43990	1.79666
1.43990	1.79730
1.43990	1.79650
1.43990	1.80036
1.43990	1.79907
1.43990	1.80084
1.43990	1.79891
1.43990	1.80068
1.43990	1.80374
1.43990	1.79923
1.43990	1.79488
1.44426	1.79311
1.45299	1.75365
1.45735	1.72111
1.47044	1.67794
1.47480	1.64701
1.48353	1.61657
1.48789	1.58516
1.49662	1.56035
1.50535	1.52813
1.50971	1.49978
1.51844	1.47369
1.52280	1.44550
1.52716	1.42311
1.53153	1.40684
1.54025	1.37768
1.54898	1.34192
1.55771	1.31035
1.56643	1.27282
1.57080	1.24350
1.57952	1.21837
1.58825	1.18052
1.59698	1.14975
1.60570	1.11528
1.61007	1.08951
1.61879	1.05826
1.62752	1.03361
1.63188	1.00091
1.64061	0.98384
1.64934	0.95323
1.65370	0.92762
1.66243	0.90587
1.67115	0.87929
1.67552	0.85465
1.68424	0.83274
1.68861	0.81518
1.69297	0.79505
1.69733	0.77443
1.70606	0.74962
1.71479	0.72176
1.72788	0.68406
1.73660	0.65587
1.74533	0.63203
1.74969	0.61512
1.75406	0.59756
1.76278	0.57775
1.76715	0.55987
1.77587	0.53393
1.78896	0.50816
1.79769	0.47917
1.80642	0.45565
1.81078	0.44228
1.81514	0.42891
1.82387	0.40990
1.83260	0.39170
1.83696	0.36931
1.84569	0.35223
1.85441	0.33580
1.85878	0.32340
1.86750	0.31277
1.87187	0.29827
1.87623	0.28667
1.88496	0.27282
1.88932	0.26155
1.89368	0.25220
1.90241	0.24012
1.90677	0.22514
1.91550	0.21048
1.91986	0.20372
1.92859	0.19421
1.93295	0.18213
1.93732	0.17263
1.95041	0.15974
1.95913	0.14428
1.96786	0.13042
1.97659	0.12012
1.98095	0.11174
1.98968	0.09869
1.99840	0.09273
2.00277	0.08725
2.00277	0.08693
2.00277	0.08758
2.00277	0.08774
2.00277	0.08903
2.00277	0.08999
2.00277	0.08854
2.00277	0.09128
2.00277	0.08709
2.00277	0.08951
2.00277	0.09692
2.00277	0.09032
2.00277	0.09048
2.00277	0.09144
2.00277	0.09128
2.00277	0.08742
2.00277	0.09225
2.00277	0.08919
2.00277	0.09386
2.00277	0.08677
2.00277	0.08870
2.00277	0.08564
2.00713	0.08307
2.01586	0.07340
2.02458	0.06599
2.03331	0.05601
2.04204	0.04972
2.05076	0.04892
2.05949	0.04264
2.06385	0.03877
2.07258	0.03233
2.08131	0.03088
2.09003	0.02894
2.09876	0.02604
2.10749	0.02508
2.11185	0.02894
2.12058	0.02186
2.12930	0.02266
2.13367	0.02186
2.14239	0.02443
2.15112	0.02347
2.15984	0.02685
2.16421	0.03088
2.17293	0.03055
2.17730	0.03297
2.19039	0.04054
2.19911	0.04634
2.21220	0.05713
2.22093	0.06019
2.22966	0.06873
2.23402	0.07050
2.24275	0.07936
2.25147	0.08758
2.26020	0.09692
2.26893	0.10449
2.27765	0.11625
2.28638	0.12753
2.29074	0.13767
2.29511	0.14412
2.30383	0.15684
2.31692	0.17150
2.32565	0.18519
2.33438	0.19743
2.33874	0.21258
2.34747	0.22127
2.35619	0.23819
2.36492	0.25623
2.36928	0.26767
2.37365	0.27975
2.37801	0.28716
2.38237	0.29537
2.39110	0.31148
2.39983	0.32791
2.40855	0.34950
2.41728	0.37317
2.42601	0.39750
2.43910	0.42150
2.44782	0.44163
2.45219	0.46016
2.46091	0.47611
2.46528	0.49221
2.46964	0.50897
2.47837	0.52298
2.49146	0.55697
2.50018	0.58822
2.50891	0.60707
2.51327	0.62478
2.51764	0.64073
2.52636	0.66602
2.53945	0.70243
2.54818	0.74141
2.55691	0.76621
2.56563	0.79102
2.57000	0.80600
2.57872	0.82485
2.58309	0.85352
2.59618	0.89911
2.60927	0.94582
2.61799	0.97353
2.62236	0.99495
2.62236	0.99672
2.62236	0.99576
2.62236	0.99398
2.62236	0.99350
2.62236	0.99511
2.62236	0.99302
2.62236	0.99012
2.62236	0.99463
2.62236	0.99302
2.62236	0.99189
2.62236	0.99334
2.62236	0.99366
2.62236	0.99270
2.62236	0.99189
2.62236	0.99270
2.62236	0.99044
2.62236	0.99350
2.62236	0.99125
2.62236	0.98996
2.62236	0.99189
2.62672	1.00574
2.63545	1.03007
2.64417	1.06309
2.65726	1.11850
2.66599	1.14556
2.67472	1.17568
2.68344	1.20613
2.69217	1.24286
2.69653	1.26863
2.70526	1.28748
2.70962	1.31422
2.71835	1.34869
2.72708	1.39073
2.73580	1.41940
2.74453	1.44920
2.75326	1.48931
2.75762	1.51428
2.76198	1.53216
2.77071	1.55536
2.77507	1.57275
2.77944	1.59901
2.78380	1.62317
2.79253	1.65893
2.80125	1.69614
2.80998	1.72159
2.81434	1.74688
2.82307	1.77829
2.82743	1.81019
2.83616	1.83677
2.83616	1.84724
2.84052	1.85980
2.84489	1.88139
2.85361	1.91312
2.86234	1.95532
2.87107	1.98883
2.87979	2.02684
2.89288	2.08338
2.90597	2.13864
2.91470	2.18503
2.92343	2.21724
2.92779	2.25027
2.93652	2.28264
2.94524	2.32517
2.95397	2.35819
2.96270	2.39282
2.96706	2.42343
2.97579	2.45468
2.98451	2.49672
2.99324	2.53458
3.00197	2.57759
3.01506	2.62108
3.01942	2.65700
3.02815	2.69405
3.03687	2.72272
3.04124	2.74930
3.04996	2.78909
3.06305	2.83307
3.07178	2.88349
3.08487	2.93326
3.09360	2.97224
3.10232	3.01397
3.11105	3.04747
3.11978	3.08291
3.13287	3.12189
3.14159	3.16361
