Polarization of Light 'cos squared(2xtheta)'  Data File Mon, Mar 9, 2026 5:07 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.54030	2.27024
0.54030	2.27266
0.54030	2.27298
0.54030	2.26944
0.54030	2.27668
0.54030	2.27024
0.54030	2.26283
0.54030	2.27072
0.54030	2.26509
0.54030	2.25607
0.54033	2.23674
0.54059	2.21080
0.54235	2.16683
0.54570	2.10658
0.55179	2.01686
0.55567	1.95355
0.56683	1.90716
0.59004	1.75767
0.61378	1.60449
0.63488	1.45275
0.65120	1.35400
0.66493	1.26299
0.67200	1.22610
0.67200	1.22707
0.67200	1.23335
0.67200	1.23448
0.67200	1.23818
0.67200	1.23980
0.67200	1.24141
0.67200	1.23770
0.67200	1.23931
0.67200	1.24640
0.67200	1.24012
0.67200	1.24253
0.67200	1.24350
0.67200	1.23561
0.67200	1.23818
0.67200	1.23770
0.67200	1.23480
0.69768	1.12543
0.71292	1.04038
0.72456	0.99318
0.74427	0.89750
0.76827	0.79618
0.78838	0.70307
0.80443	0.63429
0.82825	0.55761
0.85909	0.44550
0.88476	0.34853
0.90209	0.29054
0.90209	0.28184
0.90209	0.28909
0.90209	0.29006
0.90209	0.28973
0.90209	0.29022
0.90209	0.28780
0.90209	0.28941
0.90209	0.28748
0.90209	0.29006
0.90209	0.28909
0.90209	0.29054
0.90209	0.29022
0.90209	0.28748
0.90209	0.28732
0.90209	0.28700
0.90544	0.28152
0.91524	0.23980
0.92767	0.20436
0.93930	0.16892
0.95513	0.11657
0.97088	0.07179
0.97667	0.05069
0.98344	0.03426
0.98910	0.02008
0.99258	0.01058
0.99541	0.00285
0.99863	-0.00714
0.99996	-0.01229
0.99905	-0.00488
0.99863	-0.00440
0.99863	-0.00649
0.99863	-0.00907
0.99863	-0.00730
0.99863	-0.00633
0.99863	-0.00617
0.99863	-0.00537
0.99863	-0.00343
0.99863	-0.00553
0.99863	-0.00295
0.99863	-0.00537
0.99863	-0.00376
0.99863	-0.00327
0.99863	-0.00891
0.99863	-0.00343
0.99692	-0.00182
0.99258	0.00994
0.98344	0.03490
0.97846	0.05230
0.97288	0.06535
0.97088	0.06648
0.96882	0.07356
0.96450	0.08242
0.95263	0.11126
0.93065	0.16570
0.90544	0.22901
0.88119	0.29231
0.86657	0.32227
0.86657	0.32050
0.86657	0.31970
0.86657	0.32131
0.87027	0.32501
0.87027	0.32211
0.87027	0.31712
0.87027	0.31921
0.87027	0.31970
0.87027	0.31535
0.87027	0.31744
0.87027	0.31776
0.87027	0.31744
0.87027	0.32098
0.87027	0.31986
0.87027	0.32179
0.87027	0.32292
0.85151	0.35997
0.84383	0.37720
0.83217	0.39991
0.82036	0.42859
0.80443	0.45790
0.79240	0.48480
0.77229	0.51976
0.75624	0.55310
0.74825	0.56760
0.74825	0.57324
0.73240	0.59917
0.73240	0.60642
0.72847	0.60497
0.71678	0.62929
0.71678	0.62881
0.70908	0.64057
0.70908	0.64492
0.70526	0.65249
0.70908	0.65539
0.70908	0.65636
0.70908	0.65926
0.70908	0.65684
0.70908	0.66006
0.70908	0.66232
0.70908	0.65716
0.70908	0.65716
0.70526	0.66216
0.69768	0.67762
0.67200	0.71322
0.64786	0.74737
0.61958	0.78184
0.59496	0.80294
0.58532	0.81067
0.57866	0.80536
0.57449	0.80262
0.56683	0.80165
0.56506	0.80230
0.56506	0.79924
0.56506	0.79730
0.56506	0.81647
0.56506	0.81567
0.56506	0.81341
0.56506	0.80955
0.56506	0.81389
0.56683	0.81180
0.56683	0.81051
0.56683	0.81277
0.56683	0.80890
0.56683	0.80987
0.56683	0.81180
0.56683	0.80874
0.56683	0.81277
0.56506	0.81679
0.55709	0.80729
0.54417	0.77668
0.54081	0.73287
0.54059	0.72739
0.54043	0.72143
0.54043	0.72143
