Polarization of Light 'cos squared(theta)'  Data File Mon, Mar 9, 2026 5:07 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.54030	2.27024
0.54030	2.27266
0.54030	2.27298
0.54030	2.26944
0.54030	2.27668
0.54030	2.27024
0.54030	2.26283
0.54030	2.27072
0.54030	2.26509
0.54030	2.25607
0.54031	2.23674
0.54037	2.21080
0.54081	2.16683
0.54165	2.10658
0.54319	2.01686
0.54417	1.95355
0.54701	1.90716
0.55302	1.75767
0.55932	1.60449
0.56506	1.45275
0.56959	1.35400
0.57348	1.26299
0.57551	1.22610
0.57551	1.22707
0.57551	1.23335
0.57551	1.23448
0.57551	1.23818
0.57551	1.23980
0.57551	1.24141
0.57551	1.23770
0.57551	1.23931
0.57551	1.24640
0.57551	1.24012
0.57551	1.24253
0.57551	1.24350
0.57551	1.23561
0.57551	1.23818
0.57551	1.23770
0.57551	1.23480
0.58305	1.12543
0.58765	1.04038
0.59125	0.99318
0.59750	0.89750
0.60542	0.79618
0.61235	0.70307
0.61811	0.63429
0.62709	0.55761
0.63967	0.44550
0.65120	0.34853
0.65972	0.29054
0.65972	0.28184
0.65972	0.28909
0.65972	0.29006
0.65972	0.28973
0.65972	0.29022
0.65972	0.28780
0.65972	0.28941
0.65972	0.28748
0.65972	0.29006
0.65972	0.28909
0.65972	0.29054
0.65972	0.29022
0.65972	0.28748
0.65972	0.28732
0.65972	0.28700
0.66145	0.28152
0.66669	0.23980
0.67379	0.20436
0.68102	0.16892
0.69207	0.11657
0.70526	0.07179
0.71099	0.05069
0.71872	0.03426
0.72651	0.02008
0.73240	0.01058
0.73832	0.00285
0.74825	-0.00714
0.76225	-0.01229
0.77028	-0.00488
0.77229	-0.00440
0.77229	-0.00649
0.77229	-0.00907
0.77229	-0.00730
0.77229	-0.00633
0.77229	-0.00617
0.77229	-0.00537
0.77229	-0.00343
0.77229	-0.00553
0.77229	-0.00295
0.77229	-0.00537
0.77229	-0.00376
0.77229	-0.00327
0.77229	-0.00891
0.77229	-0.00343
0.77833	-0.00182
0.78838	0.00994
0.80243	0.03490
0.80843	0.05230
0.81440	0.06535
0.81639	0.06648
0.81838	0.07356
0.82233	0.08242
0.83217	0.11126
0.84768	0.16570
0.86285	0.22901
0.87577	0.29231
0.88298	0.32227
0.88298	0.32050
0.88298	0.31970
0.88298	0.32131
0.88119	0.32501
0.88119	0.32211
0.88119	0.31712
0.88119	0.31921
0.88119	0.31970
0.88119	0.31535
0.88119	0.31744
0.88119	0.31776
0.88119	0.31744
0.88119	0.32098
0.88119	0.31986
0.88119	0.32179
0.88119	0.32292
0.89006	0.35997
0.89355	0.37720
0.89870	0.39991
0.90377	0.42859
0.91039	0.45790
0.91524	0.48480
0.92310	0.51976
0.92917	0.55310
0.93213	0.56760
0.93213	0.57324
0.93789	0.59917
0.93789	0.60642
0.93930	0.60497
0.94345	0.62929
0.94345	0.62881
0.94614	0.64057
0.94614	0.64492
0.94747	0.65249
0.94614	0.65539
0.94614	0.65636
0.94614	0.65926
0.94614	0.65684
0.94614	0.66006
0.94614	0.66232
0.94614	0.65716
0.94614	0.65716
0.94747	0.66216
0.95008	0.67762
0.95876	0.71322
0.96669	0.74737
0.97575	0.78184
0.98344	0.80294
0.98641	0.81067
0.98845	0.80536
0.98972	0.80262
0.99205	0.80165
0.99258	0.80230
0.99258	0.79924
0.99258	0.79730
0.99258	0.81647
0.99258	0.81567
0.99258	0.81341
0.99258	0.80955
0.99258	0.81389
0.99205	0.81180
0.99205	0.81051
0.99205	0.81277
0.99205	0.80890
0.99205	0.80987
0.99205	0.81180
0.99205	0.80874
0.99205	0.81277
0.99258	0.81679
0.99499	0.80729
0.99885	0.77668
0.99985	0.73287
0.99991	0.72739
0.99996	0.72143
0.99996	0.72143
