Polarization of Light 'cos(theta)' Data File Mon, Mar 9, 2026 5:07 PM
Sensor Position (Radians)	Light Intensity (Volts)
1.00000	2.27024
1.00000	2.27266
1.00000	2.27298
1.00000	2.26944
1.00000	2.27668
1.00000	2.27024
1.00000	2.26283
1.00000	2.27072
1.00000	2.26509
1.00000	2.25607
0.99999	2.23674
0.99991	2.21080
0.99939	2.16683
0.99839	2.10658
0.99657	2.01686
0.99540	1.95355
0.99200	1.90716
0.98481	1.75767
0.97723	1.60449
0.97030	1.45275
0.96479	1.35400
0.96005	1.26299
0.95757	1.22610
0.95757	1.22707
0.95757	1.23335
0.95757	1.23448
0.95757	1.23818
0.95757	1.23980
0.95757	1.24141
0.95757	1.23770
0.95757	1.23931
0.95757	1.24640
0.95757	1.24012
0.95757	1.24253
0.95757	1.24350
0.95757	1.23561
0.95757	1.23818
0.95757	1.23770
0.95757	1.23480
0.94832	1.12543
0.94264	1.04038
0.93819	0.99318
0.93042	0.89750
0.92050	0.79618
0.91176	0.70307
0.90446	0.63429
0.89298	0.55761
0.87673	0.44550
0.86163	0.34853
0.85035	0.29054
0.85035	0.28184
0.85035	0.28909
0.85035	0.29006
0.85035	0.28973
0.85035	0.29022
0.85035	0.28780
0.85035	0.28941
0.85035	0.28748
0.85035	0.29006
0.85035	0.28909
0.85035	0.29054
0.85035	0.29022
0.85035	0.28748
0.85035	0.28732
0.85035	0.28700
0.84805	0.28152
0.84104	0.23980
0.83147	0.20436
0.82165	0.16892
0.80644	0.11657
0.78801	0.07179
0.77988	0.05069
0.76884	0.03426
0.75756	0.02008
0.74896	0.01058
0.74022	0.00285
0.72537	-0.00714
0.70401	-0.01229
0.69151	-0.00488
0.68835	-0.00440
0.68835	-0.00649
0.68835	-0.00907
0.68835	-0.00730
0.68835	-0.00633
0.68835	-0.00617
0.68835	-0.00537
0.68835	-0.00343
0.68835	-0.00553
0.68835	-0.00295
0.68835	-0.00537
0.68835	-0.00376
0.68835	-0.00327
0.68835	-0.00891
0.68835	-0.00343
0.67880	-0.00182
0.66262	0.00994
0.63944	0.03490
0.62932	0.05230
0.61909	0.06535
0.61566	0.06648
0.61222	0.07356
0.60529	0.08242
0.58779	0.11126
0.55919	0.16570
0.52992	0.22901
0.50377	0.29231
0.48862	0.32227
0.48862	0.32050
0.48862	0.31970
0.48862	0.32131
0.49242	0.32501
0.49242	0.32211
0.49242	0.31712
0.49242	0.31921
0.49242	0.31970
0.49242	0.31535
0.49242	0.31744
0.49242	0.31776
0.49242	0.31744
0.49242	0.32098
0.49242	0.31986
0.49242	0.32179
0.49242	0.32292
0.47332	0.35997
0.46561	0.37720
0.45399	0.39991
0.44229	0.42859
0.42657	0.45790
0.41469	0.48480
0.39474	0.51976
0.37865	0.55310
0.37056	0.56760
0.37056	0.57324
0.35429	0.59917
0.35429	0.60642
0.35021	0.60497
0.33792	0.62929
0.33792	0.62881
0.32969	0.64057
0.32969	0.64492
0.32557	0.65249
0.32969	0.65539
0.32969	0.65636
0.32969	0.65926
0.32969	0.65684
0.32969	0.66006
0.32969	0.66232
0.32969	0.65716
0.32969	0.65716
0.32557	0.66216
0.31730	0.67762
0.28820	0.71322
0.25882	0.74737
0.22070	0.78184
0.18224	0.80294
0.16505	0.81067
0.15212	0.80536
0.14349	0.80262
0.12620	0.80165
0.12187	0.80230
0.12187	0.79924
0.12187	0.79730
0.12187	0.81647
0.12187	0.81567
0.12187	0.81341
0.12187	0.80955
0.12187	0.81389
0.12620	0.81180
0.12620	0.81051
0.12620	0.81277
0.12620	0.80890
0.12620	0.80987
0.12620	0.81180
0.12620	0.80874
0.12620	0.81277
0.12187	0.81679
0.10019	0.80729
0.04798	0.77668
0.01745	0.73287
0.01309	0.72739
0.00873	0.72143
0.00873	0.72143
-0.00873	0.70210
-0.02181	0.68616
-0.03926	0.66731
-0.03926	0.66119
-0.04798	0.65040
-0.05669	0.64105
-0.07411	0.61673
-0.08281	0.59869
-0.08281	0.60787
-0.07846	0.60964
-0.07846	0.62189
-0.07846	0.62414
-0.07846	0.62414
-0.07846	0.62301
-0.07846	0.62398
-0.07846	0.62382
-0.07846	0.62205
-0.07846	0.62462
-0.07846	0.62156
-0.07846	0.62140
-0.07846	0.62478
-0.08281	0.60900
-0.10453	0.57324
-0.12187	0.52959
-0.12620	0.52234
-0.13485	0.50703
-0.16074	0.47111
-0.19937	0.39959
-0.21218	0.36963
-0.22495	0.34579
-0.22495	0.33709
-0.24192	0.31502
-0.25038	0.29215
-0.25460	0.28845
-0.26724	0.26589
-0.27564	0.24818
-0.28820	0.22176
-0.29237	0.21499
-0.29237	0.21693
-0.28820	0.22450
-0.28820	0.22546
-0.28820	0.22095
-0.28820	0.22337
-0.28820	0.22272
-0.28820	0.22031
-0.28820	0.22305
-0.28820	0.22224
-0.28820	0.22079
-0.29237	0.21918
-0.30071	0.20227
-0.32969	0.14943
-0.34202	0.13365
-0.35429	0.10739
-0.36650	0.09128
-0.38268	0.06857
-0.39474	0.05182
-0.42262	0.02427
-0.44620	0.00446
-0.45787	-0.00456
-0.46561	-0.00472
-0.48862	-0.01020
-0.49242	-0.01181
-0.49242	-0.01262
-0.49242	-0.01229
-0.49242	-0.01213
-0.49242	-0.01197
-0.49242	-0.01245
-0.48862	-0.00988
-0.49242	-0.01068
-0.49242	-0.01100
-0.49242	-0.01149
-0.50000	-0.01004
-0.51129	-0.01004
-0.54097	0.00027
-0.56280	0.02057
-0.58779	0.04763
-0.60876	0.09305
-0.63608	0.14653
-0.64279	0.17263
