Polarization of Light 'theta' Data File Mon, Mar 9, 2026 5:20 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	2.11850
0.00000	2.13058
0.00000	2.12833
0.00000	2.11866
0.00000	2.12027
0.00000	2.12978
0.00000	2.12897
0.00000	2.13155
0.00000	2.13139
0.00000	2.12204
0.00000	2.13235
0.00000	2.12333
0.00873	1.96193
0.01745	1.91038
0.03491	1.87849
0.04800	1.83177
0.06109	1.80600
0.07418	1.77314
0.08290	1.74849
0.10036	1.71628
0.11345	1.67085
0.12654	1.64588
0.13090	1.63348
0.13090	1.63074
0.13090	1.62897
0.13090	1.62156
0.13090	1.62317
0.13090	1.62478
0.13090	1.62559
0.13090	1.62494
0.13090	1.62220
0.13090	1.62011
0.13090	1.62253
0.13090	1.62237
0.13090	1.62639
0.14835	1.58371
0.17017	1.52604
0.19635	1.43342
0.21380	1.37543
0.23562	1.30874
0.24871	1.26041
0.26616	1.19952
0.28798	1.13300
0.30980	1.05713
0.32289	0.99882
0.33598	0.95726
0.33598	0.95645
0.33598	0.95855
0.33598	0.95452
0.33598	0.95549
0.33598	0.95581
0.33598	0.95355
0.33598	0.96386
0.33598	0.95420
0.33598	0.95661
0.33598	0.95484
0.33598	0.95468
0.33598	0.95742
0.33598	0.94469
0.35343	0.89572
0.37961	0.79972
0.40579	0.71644
0.42761	0.63993
0.45379	0.57227
0.46688	0.52427
0.47997	0.49141
0.50615	0.41361
0.53669	0.33629
0.55851	0.28361
0.56287	0.26686
0.56287	0.27024
0.56287	0.27218
0.56287	0.27073
0.56287	0.27636
0.56287	0.27121
0.56287	0.26976
0.56287	0.27508
0.56287	0.27137
0.56287	0.27604
0.56287	0.27492
0.56287	0.27185
0.56287	0.27169
0.58032	0.23158
0.61523	0.16554
0.64577	0.11271
0.67632	0.06438
0.69377	0.05214
0.71122	0.03361
0.72867	0.01702
0.75922	0.00172
0.77667	-0.00698
0.80721	-0.01004
0.82467	-0.00939
0.82467	-0.00811
0.82467	-0.00988
0.82467	-0.00585
0.82467	-0.01181
0.82467	-0.00730
0.82467	-0.00811
0.82467	-0.00891
0.82467	-0.00698
0.82467	-0.00956
0.82467	-0.00698
0.82467	-0.00923
0.82467	-0.00907
0.82467	-0.00778
0.84648	-0.00215
0.88139	0.01428
0.91193	0.03523
0.93811	0.05810
0.95993	0.08258
0.99920	0.13638
1.02102	0.17102
1.04720	0.20855
1.06465	0.24157
1.08647	0.27379
1.09519	0.28957
1.09519	0.29006
1.09519	0.28716
1.09519	0.28313
1.09519	0.28329
1.09519	0.28410
1.09519	0.28313
1.09519	0.28522
1.09519	0.28071
1.09519	0.28313
1.09519	0.28522
1.09519	0.28458
1.09519	0.28845
1.12137	0.32630
1.15628	0.38832
1.19119	0.44051
1.23046	0.50285
1.26973	0.55198
1.29154	0.58000
1.31336	0.60191
1.32645	0.60948
1.35263	0.63268
1.36136	0.63429
1.36136	0.63719
1.36136	0.63687
1.36136	0.63284
1.36136	0.63654
1.36136	0.63316
1.36136	0.63236
1.36136	0.63187
1.36136	0.63429
1.36136	0.63364
1.36136	0.63509
1.36136	0.63525
1.36136	0.63187
1.37881	0.64766
1.40935	0.66103
1.44426	0.66634
1.48789	0.66538
1.52280	0.64782
1.54898	0.63477
1.56643	0.63107
1.58389	0.60578
1.60134	0.59080
1.61879	0.57710
1.62316	0.56841
1.62316	0.56518
1.62316	0.56470
1.62316	0.56422
1.62316	0.56760
1.62316	0.56728
1.62316	0.56680
1.62316	0.56615
1.62316	0.56583
1.62316	0.56422
1.62316	0.56760
1.62752	0.56422
1.64497	0.54279
1.67115	0.51315
1.70606	0.46403
1.73660	0.41151
1.78460	0.34193
1.80642	0.30568
1.85005	0.24415
1.87623	0.19743
1.90677	0.15878
1.91550	0.13848
1.91550	0.13783
1.91550	0.13510
1.91550	0.13977
1.91550	0.14122
1.91550	0.14267
1.91550	0.14218
1.91550	0.14090
1.91550	0.13719
1.91550	0.13961
1.91550	0.14202
1.91550	0.14106
1.91550	0.14057
1.92859	0.12881
1.94168	0.10578
1.98095	0.05890
2.01586	0.02572
2.04640	0.00688
2.07258	-0.00311
2.09876	-0.00649
2.12930	-0.01229
2.14239	-0.00827
2.16857	0.00301
2.17293	0.00269
2.18602	0.01654
2.18602	0.01348
2.18602	0.01219
2.18602	0.01316
2.18602	0.01139
2.18602	0.01155
2.18602	0.01316
2.18602	0.01058
2.18602	0.01074
2.18602	0.01638
2.18602	0.01171
2.19911	0.01992
2.22529	0.04698
2.26456	0.08999
2.29947	0.15040
2.33438	0.21773
2.36928	0.30810
2.39546	0.37865
2.42601	0.45194
2.44782	0.51976
2.46528	0.57034
2.46964	0.58661
2.46964	0.58677
2.46964	0.58757
2.46964	0.59064
2.46964	0.58774
2.46964	0.58709
2.46964	0.58806
2.46964	0.58919
2.46964	0.58709
2.46964	0.58902
2.46964	0.58725
2.46964	0.59064
2.48709	0.64266
2.51764	0.73593
2.55691	0.87124
2.58309	0.97385
2.62236	1.09804
2.65290	1.20404
2.67908	1.28425
2.70526	1.35594
2.73144	1.40329
2.74017	1.44050
2.76198	1.49898
2.76635	1.51605
2.76635	1.51412
2.76635	1.51831
2.76635	1.51444
2.76635	1.51637
2.76635	1.51299
2.76635	1.51831
2.76635	1.50977
2.76635	1.51557
2.76635	1.51331
2.76635	1.51782
2.76635	1.52056
2.77507	1.55181
2.80562	1.63622
2.83616	1.69727
2.88852	1.78812
2.93215	1.85706
2.97579	1.91167
2.99760	1.93325
3.01506	1.94453
3.02378	1.95081
3.04124	1.94727
3.06305	1.94566
3.06742	1.93889
3.06742	1.94260
3.06742	1.93181
3.06742	1.93615
3.06742	1.93583
3.06742	1.94083
3.06742	1.93599
3.06742	1.93519
3.06742	1.93712
3.06742	1.93615
3.06742	1.93954
3.06742	1.94308
3.08487	1.93664
3.11541	1.90990
3.14596	1.86786
