Polarization of Light 'cos squared(2xtheta)'  Data File Mon, Mar 9, 2026 5:23 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.54030	1.86479
0.54030	1.86641
0.54030	1.86512
0.54030	1.86463
0.54030	1.86544
0.54030	1.86786
0.54030	1.86544
0.54030	1.86560
0.54030	1.86721
0.54030	1.86447
0.54030	1.86254
0.54030	1.86351
0.54030	1.86238
0.54030	1.86334
0.54030	1.86302
0.54030	1.86415
0.54030	1.86399
0.54030	1.86802
0.54030	1.86254
0.54043	1.85900
0.54059	1.86963
0.54187	1.85481
0.54350	1.82823
0.54748	1.80842
0.54951	1.79392
0.55302	1.77765
0.55709	1.76508
0.56009	1.75010
0.56334	1.73641
0.56683	1.70822
0.56866	1.70001
0.57054	1.69630
0.57054	1.69550
0.57054	1.69260
0.57054	1.68889
0.57054	1.69598
0.57054	1.69469
0.57054	1.69179
0.57054	1.69034
0.57054	1.69324
0.57054	1.69308
0.57054	1.69147
0.57054	1.69421
0.57054	1.69324
0.57054	1.69372
0.57249	1.68084
0.57654	1.66554
0.58305	1.64621
0.58765	1.60610
0.59750	1.56534
0.61094	1.49817
0.62557	1.42601
0.63488	1.37639
0.64786	1.32614
0.66145	1.26927
0.66845	1.22932
0.67559	1.19936
0.67920	1.19195
0.67920	1.18841
0.67920	1.18487
0.67920	1.19002
0.67920	1.18986
0.67920	1.18954
0.67920	1.18615
0.67920	1.18777
0.67920	1.19131
0.67920	1.18954
0.67920	1.18970
0.67920	1.19050
0.67920	1.19131
0.67920	1.18889
0.67920	1.18970
0.69393	1.12978
0.71292	1.05761
0.72456	1.00333
0.74030	0.94824
0.75624	0.88976
0.77229	0.82275
0.78838	0.76815
0.80843	0.69276
0.83608	0.58596
0.84768	0.53538
0.85909	0.49205
0.87027	0.46258
0.87394	0.44099
0.87758	0.43068
0.88119	0.43229
0.88119	0.42907
0.88119	0.42762
0.88119	0.42456
0.88119	0.42875
0.88119	0.42665
0.88119	0.43036
0.88119	0.43261
0.88119	0.42988
0.88119	0.43229
0.88119	0.42746
0.88119	0.42778
0.88119	0.43068
0.89181	0.39605
0.90209	0.35304
0.91524	0.30729
0.93065	0.26283
0.94208	0.21145
0.95994	0.15733
0.96882	0.12350
0.97481	0.10336
0.98019	0.08323
0.98344	0.07292
0.98641	0.06164
0.98779	0.05584
0.98779	0.05649
0.98779	0.05665
0.98779	0.05778
0.98779	0.05407
0.98779	0.05584
0.98779	0.05294
0.98779	0.05697
0.98779	0.05359
0.98779	0.05423
0.98779	0.05745
0.98779	0.05520
0.98779	0.05745
0.98910	0.05149
0.99454	0.02943
0.99814	0.01380
1.00000	-0.00053
0.99814	-0.01342
0.99454	-0.01020
0.98910	-0.00714
0.98185	-0.00118
0.97667	0.00752
0.97088	0.01461
0.96669	0.02105
0.96669	0.02153
0.96669	0.02041
0.96669	0.01896
0.96669	0.02057
0.96669	0.02169
0.96669	0.02411
0.96669	0.02202
0.96669	0.02105
0.96669	0.01880
0.96669	0.02153
0.96669	0.01847
0.96669	0.02250
0.96669	0.02041
0.96669	0.02282
0.96450	0.02314
0.95513	0.03716
0.94480	0.05488
0.93065	0.08178
0.90875	0.11142
0.89181	0.14718
0.87027	0.17263
0.85531	0.20356
0.84383	0.21918
0.83608	0.23464
0.82431	0.25204
0.82036	0.26106
0.81639	0.26702
0.81639	0.26589
0.81639	0.26783
0.81639	0.26670
0.81639	0.26606
0.81639	0.26444
0.81639	0.26332
0.81639	0.26686
0.81639	0.26702
0.81639	0.26509
0.81639	0.26606
0.81639	0.26686
0.81639	0.26509
0.81639	0.26541
0.80043	0.29199
0.78436	0.31986
0.76426	0.34982
0.74427	0.39025
0.72847	0.41361
0.70908	0.45033
0.68651	0.49898
0.67200	0.52878
0.66493	0.54714
0.65120	0.56486
0.64455	0.57292
0.63806	0.57453
0.63806	0.57839
0.63806	0.58081
0.63806	0.58016
0.63806	0.58145
0.63806	0.57904
0.63806	0.57743
0.63806	0.57727
0.63806	0.57308
0.63806	0.57710
0.63806	0.57276
0.63806	0.56760
0.63806	0.57082
0.63806	0.57388
0.63173	0.59531
0.61958	0.60545
0.60273	0.63139
0.58765	0.63042
0.57449	0.63139
0.56009	0.66828
0.55179	0.67762
0.54490	0.66924
0.54187	0.65346
0.54043	0.64685
0.54033	0.64685
0.54033	0.64170
0.54030	0.63896
0.54030	0.63542
0.54030	0.63687
0.54030	0.63735
0.54030	0.63687
0.54030	0.63252
0.54030	0.63574
0.54030	0.63364
0.54030	0.63590
0.54030	0.63477
0.54030	0.63703
0.54030	0.63364
0.54030	0.63670
0.54030	0.64234
