Polarization of Light 'cos squared(theta)'  Data File Mon, Mar 9, 2026 5:22 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.54030	1.86479
0.54030	1.86641
0.54030	1.86512
0.54030	1.86463
0.54030	1.86544
0.54030	1.86786
0.54030	1.86544
0.54030	1.86560
0.54030	1.86721
0.54030	1.86447
0.54030	1.86254
0.54030	1.86351
0.54030	1.86238
0.54030	1.86334
0.54030	1.86302
0.54030	1.86415
0.54030	1.86399
0.54030	1.86802
0.54030	1.86254
0.54033	1.85900
0.54037	1.86963
0.54069	1.85481
0.54110	1.82823
0.54210	1.80842
0.54261	1.79392
0.54350	1.77765
0.54453	1.76508
0.54529	1.75010
0.54612	1.73641
0.54701	1.70822
0.54748	1.70001
0.54797	1.69630
0.54797	1.69550
0.54797	1.69260
0.54797	1.68889
0.54797	1.69598
0.54797	1.69469
0.54797	1.69179
0.54797	1.69034
0.54797	1.69324
0.54797	1.69308
0.54797	1.69147
0.54797	1.69421
0.54797	1.69324
0.54797	1.69372
0.54847	1.68084
0.54951	1.66554
0.55120	1.64621
0.55240	1.60610
0.55499	1.56534
0.55856	1.49817
0.56251	1.42601
0.56506	1.37639
0.56866	1.32614
0.57249	1.26927
0.57449	1.22932
0.57654	1.19936
0.57759	1.19195
0.57759	1.18841
0.57759	1.18487
0.57759	1.19002
0.57759	1.18986
0.57759	1.18954
0.57759	1.18615
0.57759	1.18777
0.57759	1.19131
0.57759	1.18954
0.57759	1.18970
0.57759	1.19050
0.57759	1.19131
0.57759	1.18889
0.57759	1.18970
0.58193	1.12978
0.58765	1.05761
0.59125	1.00333
0.59622	0.94824
0.60140	0.88976
0.60678	0.82275
0.61235	0.76815
0.61958	0.69276
0.63018	0.58596
0.63488	0.53538
0.63967	0.49205
0.64455	0.46258
0.64620	0.44099
0.64786	0.43068
0.64953	0.43229
0.64953	0.42907
0.64953	0.42762
0.64953	0.42456
0.64953	0.42875
0.64953	0.42665
0.64953	0.43036
0.64953	0.43261
0.64953	0.42988
0.64953	0.43229
0.64953	0.42746
0.64953	0.42778
0.64953	0.43068
0.65458	0.39605
0.65972	0.35304
0.66669	0.30729
0.67559	0.26283
0.68284	0.21145
0.69581	0.15733
0.70336	0.12350
0.70908	0.10336
0.71485	0.08323
0.71872	0.07292
0.72261	0.06164
0.72456	0.05584
0.72456	0.05649
0.72456	0.05665
0.72456	0.05778
0.72456	0.05407
0.72456	0.05584
0.72456	0.05294
0.72456	0.05697
0.72456	0.05359
0.72456	0.05423
0.72456	0.05745
0.72456	0.05520
0.72456	0.05745
0.72651	0.05149
0.73634	0.02943
0.74626	0.01380
0.76024	-0.00053
0.77430	-0.01342
0.78436	-0.01020
0.79441	-0.00714
0.80443	-0.00118
0.81042	0.00752
0.81639	0.01461
0.82036	0.02105
0.82036	0.02153
0.82036	0.02041
0.82036	0.01896
0.82036	0.02057
0.82036	0.02169
0.82036	0.02411
0.82036	0.02202
0.82036	0.02105
0.82036	0.01880
0.82036	0.02153
0.82036	0.01847
0.82036	0.02250
0.82036	0.02041
0.82036	0.02282
0.82233	0.02314
0.83021	0.03716
0.83802	0.05488
0.84768	0.08178
0.86097	0.11142
0.87027	0.14718
0.88119	0.17263
0.88830	0.20356
0.89355	0.21918
0.89699	0.23464
0.90209	0.25204
0.90377	0.26106
0.90544	0.26702
0.90544	0.26589
0.90544	0.26783
0.90544	0.26670
0.90544	0.26606
0.90544	0.26444
0.90544	0.26332
0.90544	0.26686
0.90544	0.26702
0.90544	0.26509
0.90544	0.26606
0.90544	0.26686
0.90544	0.26509
0.90544	0.26541
0.91202	0.29199
0.91842	0.31986
0.92615	0.34982
0.93359	0.39025
0.93930	0.41361
0.94614	0.45033
0.95389	0.49898
0.95876	0.52878
0.96110	0.54714
0.96561	0.56486
0.96776	0.57292
0.96986	0.57453
0.96986	0.57839
0.96986	0.58081
0.96986	0.58016
0.96986	0.58145
0.96986	0.57904
0.96986	0.57743
0.96986	0.57727
0.96986	0.57308
0.96986	0.57710
0.96986	0.57276
0.96986	0.56760
0.96986	0.57082
0.96986	0.57388
0.97189	0.59531
0.97575	0.60545
0.98103	0.63139
0.98569	0.63042
0.98972	0.63139
0.99408	0.66828
0.99657	0.67762
0.99863	0.66924
0.99953	0.65346
0.99996	0.64685
0.99999	0.64685
0.99999	0.64170
1.00000	0.63896
1.00000	0.63542
1.00000	0.63687
1.00000	0.63735
1.00000	0.63687
1.00000	0.63252
1.00000	0.63574
1.00000	0.63364
1.00000	0.63590
1.00000	0.63477
1.00000	0.63703
1.00000	0.63364
1.00000	0.63670
1.00000	0.64234
