Polarization of Light 'cos(theta)' Data File Mon, Mar 9, 2026 5:22 PM
Sensor Position (Radians)	Light Intensity (Volts)
1.00000	1.86479
1.00000	1.86641
1.00000	1.86512
1.00000	1.86463
1.00000	1.86544
1.00000	1.86786
1.00000	1.86544
1.00000	1.86560
1.00000	1.86721
1.00000	1.86447
1.00000	1.86254
1.00000	1.86351
1.00000	1.86238
1.00000	1.86334
1.00000	1.86302
1.00000	1.86415
1.00000	1.86399
1.00000	1.86802
1.00000	1.86254
0.99996	1.85900
0.99991	1.86963
0.99953	1.85481
0.99905	1.82823
0.99786	1.80842
0.99725	1.79392
0.99619	1.77765
0.99497	1.76508
0.99406	1.75010
0.99307	1.73641
0.99200	1.70822
0.99144	1.70001
0.99087	1.69630
0.99087	1.69550
0.99087	1.69260
0.99087	1.68889
0.99087	1.69598
0.99087	1.69469
0.99087	1.69179
0.99087	1.69034
0.99087	1.69324
0.99087	1.69308
0.99087	1.69147
0.99087	1.69421
0.99087	1.69324
0.99087	1.69372
0.99027	1.68084
0.98902	1.66554
0.98700	1.64621
0.98556	1.60610
0.98245	1.56534
0.97815	1.49817
0.97338	1.42601
0.97030	1.37639
0.96593	1.32614
0.96126	1.26927
0.95882	1.22932
0.95630	1.19936
0.95502	1.19195
0.95502	1.18841
0.95502	1.18487
0.95502	1.19002
0.95502	1.18986
0.95502	1.18954
0.95502	1.18615
0.95502	1.18777
0.95502	1.19131
0.95502	1.18954
0.95502	1.18970
0.95502	1.19050
0.95502	1.19131
0.95502	1.18889
0.95502	1.18970
0.94970	1.12978
0.94264	1.05761
0.93819	1.00333
0.93201	0.94824
0.92554	0.88976
0.91879	0.82275
0.91176	0.76815
0.90259	0.69276
0.88902	0.58596
0.88295	0.53538
0.87673	0.49205
0.87036	0.46258
0.86820	0.44099
0.86603	0.43068
0.86384	0.43229
0.86384	0.42907
0.86384	0.42762
0.86384	0.42456
0.86384	0.42875
0.86384	0.42665
0.86384	0.43036
0.86384	0.43261
0.86384	0.42988
0.86384	0.43229
0.86384	0.42746
0.86384	0.42778
0.86384	0.43068
0.85717	0.39605
0.85035	0.35304
0.84104	0.30729
0.82904	0.26283
0.81915	0.21145
0.80125	0.15733
0.79069	0.12350
0.78261	0.10336
0.77439	0.08323
0.76884	0.07292
0.76323	0.06164
0.76041	0.05584
0.76041	0.05649
0.76041	0.05665
0.76041	0.05778
0.76041	0.05407
0.76041	0.05584
0.76041	0.05294
0.76041	0.05697
0.76041	0.05359
0.76041	0.05423
0.76041	0.05745
0.76041	0.05520
0.76041	0.05745
0.75756	0.05149
0.74314	0.02943
0.72837	0.01380
0.70711	-0.00053
0.68518	-0.01342
0.66913	-0.01020
0.65276	-0.00714
0.63608	-0.00118
0.62592	0.00752
0.61566	0.01461
0.60876	0.02105
0.60876	0.02153
0.60876	0.02041
0.60876	0.01896
0.60876	0.02057
0.60876	0.02169
0.60876	0.02411
0.60876	0.02202
0.60876	0.02105
0.60876	0.01880
0.60876	0.02153
0.60876	0.01847
0.60876	0.02250
0.60876	0.02041
0.60876	0.02282
0.60529	0.02314
0.59131	0.03716
0.57715	0.05488
0.55919	0.08178
0.53361	0.11142
0.51504	0.14718
0.49242	0.17263
0.47716	0.20356
0.46561	0.21918
0.45787	0.23464
0.44620	0.25204
0.44229	0.26106
0.43837	0.26702
0.43837	0.26589
0.43837	0.26783
0.43837	0.26670
0.43837	0.26606
0.43837	0.26444
0.43837	0.26332
0.43837	0.26686
0.43837	0.26702
0.43837	0.26509
0.43837	0.26606
0.43837	0.26686
0.43837	0.26509
0.43837	0.26541
0.42262	0.29199
0.40674	0.31986
0.38671	0.34982
0.36650	0.39025
0.35021	0.41361
0.32969	0.45033
0.30486	0.49898
0.28820	0.52878
0.27983	0.54714
0.26303	0.56486
0.25460	0.57292
0.24615	0.57453
0.24615	0.57839
0.24615	0.58081
0.24615	0.58016
0.24615	0.58145
0.24615	0.57904
0.24615	0.57743
0.24615	0.57727
0.24615	0.57308
0.24615	0.57710
