Polarization of Light 'Brewsters' Data File Fri, Mar 13, 2026 3:37 PM
Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	3.34274
180.00000	3.34371
180.00000	3.34435
180.00000	3.34193
180.00000	3.34387
180.00000	3.34290
180.00000	3.34499
179.98333	3.34016
179.95000	3.33565
179.88333	3.32921
179.81667	3.31632
179.73333	3.27267
179.61667	3.23079
179.55000	3.23578
179.50000	3.22080
179.43333	3.16506
179.35000	3.04360
179.30000	3.07469
179.20000	2.39959
179.13333	1.08677
179.06667	0.42214
179.03333	0.39041
178.98333	0.60803
178.91667	1.72079
178.86667	3.02411
178.80000	3.00027
178.73333	3.10997
178.66667	3.11851
178.58333	3.13703
178.51667	3.21419
178.41667	3.20211
178.36667	3.19100
178.35000	3.18794
178.30000	3.17859
178.25000	3.13784
178.20000	3.10031
178.11667	3.04135
178.01667	3.02637
177.96667	2.99802
177.93333	2.99190
177.90000	2.97949
177.88333	2.98143
177.86667	2.98239
177.83333	2.97208
177.78333	2.96081
177.75000	2.93777
177.70000	2.86931
177.66667	2.46580
177.63333	1.25365
177.60000	0.57565
177.56667	0.15878
177.51667	0.08645
177.50000	0.04715
177.46667	0.04215
177.45000	0.03603
177.43333	0.03732
177.40000	0.04199
177.35000	0.07244
177.30000	0.42230
177.23333	1.08371
177.18333	1.41554
177.13333	1.51943
177.06667	1.23770
177.01667	0.86319
176.96667	1.06244
176.91667	0.22707
176.88333	0.14911
176.86667	0.12769
176.81667	0.18680
176.78333	0.21499
176.76667	1.01331
176.71667	2.34289
176.70000	2.68535
176.66667	2.35996
176.65000	1.44276
176.63333	1.47224
176.56667	1.23867
176.48333	1.24592
176.41667	1.27604
176.33333	1.73174
176.26667	2.36931
176.21667	2.63944
176.18333	2.71048
176.15000	2.71064
176.11667	2.70662
176.10000	2.70629
176.06667	2.68600
176.01667	2.65877
175.95000	2.57501
175.88333	2.55085
175.81667	2.64428
175.78333	2.65314
175.73333	2.63864
175.71667	2.62269
175.70000	2.59708
175.65000	2.03925
175.60000	1.07694
175.56667	0.71741
175.51667	0.43390
175.45000	0.16200
175.41667	0.21000
175.38333	0.44614
175.35000	1.13525
175.33333	2.25735
175.30000	2.57743
175.26667	2.57759
175.23333	2.57404
175.20000	2.56696
175.15000	2.56293
175.10000	2.54779
175.03333	2.54392
174.96667	2.53297
174.91667	2.53603
174.88333	2.53909
174.85000	2.52846
174.81667	2.51428
174.76667	2.50478
174.66667	2.48045
174.58333	2.46660
174.53333	2.45855
174.46667	2.45130
174.41667	2.43503
174.36667	2.43600
174.31667	2.42907
174.30000	2.42327
174.26667	2.41473
174.25000	2.40088
174.23333	2.38300
174.21667	2.38284
174.20000	2.38203
174.16667	2.40201
174.13333	2.39492
174.08333	2.39331
174.03333	2.39476
174.03333	2.40893
174.01667	2.40313
174.00000	2.39830
174.00000	2.39492
173.95000	2.38558
173.86667	2.35739
173.83333	2.35255
173.80000	2.34820
173.75000	2.33113
173.73333	2.33500
173.71667	2.33790
173.70000	2.33177
173.68333	2.33210
173.65000	2.32002
173.61667	2.18519
173.56667	1.95323
173.53333	1.70049
173.48333	0.79247
173.45000	1.07791
173.43333	1.93841
173.40000	1.78699
173.36667	1.48158
173.35000	1.39814
173.30000	1.33354
173.25000	1.97868
173.18333	2.12494
173.13333	2.24882
173.06667	2.25703
173.03333	2.25977
172.98333	2.24849
172.95000	2.24769
172.90000	2.21724
172.88333	2.21048
172.85000	2.20339
172.83333	2.20049
172.75000	2.17842
172.68333	2.13783
172.58333	2.13509
172.55000	2.11383
172.50000	2.10626
172.48333	2.02330
172.45000	2.01557
172.41667	1.88702
172.36667	1.55890
172.33333	1.69469
172.30000	2.06180
172.25000	2.10722
172.21667	2.10755
172.20000	2.09772
172.16667	2.08725
172.13333	2.05181
172.11667	2.01734
172.08333	1.69952
172.03333	1.37430
172.00000	1.20081
171.95000	1.10416
171.90000	0.89717
171.80000	0.75687
171.70000	1.00816
171.63333	1.89443
171.61667	1.68503
171.61667	1.24801
171.60000	1.21402
171.58333	1.10094
171.56667	1.23255
171.55000	1.75510
171.53333	1.79843
171.50000	1.26315
171.48333	0.97304
171.43333	0.92037
171.41667	1.05906
171.38333	1.67085
171.35000	1.37720
171.31667	1.26025
171.28333	1.16538
171.23333	1.03393
171.13333	1.80471
171.06667	1.85690
171.01667	1.87156
170.96667	1.83741
170.93333	1.89427
170.88333	1.89170
170.83333	1.87478
170.73333	1.79650
170.61667	1.74092
170.53333	1.62204
170.46667	1.48077
170.40000	1.59691
170.35000	1.69840
170.30000	1.69840
170.23333	1.67794
170.18333	1.57404
170.11667	1.07034
170.05000	1.03377
169.98333	1.15716
169.95000	1.54472
169.93333	1.50091
169.88333	1.54311
169.85000	1.44985
169.80000	1.27862
169.75000	1.25252
169.71667	1.60513
169.65000	1.53506
169.61667	1.57710
169.58333	1.59385
169.53333	1.64041
169.51667	1.64894
169.46667	1.63815
169.43333	1.59836
169.38333	1.53796
169.31667	1.45049
169.26667	1.35964
169.18333	1.48754
169.13333	1.45903
169.10000	1.43406
169.06667	1.12833
169.03333	0.72578
169.03333	0.56744
168.98333	0.36705
168.96667	0.70919
168.93333	1.18503
168.93333	1.28973
168.90000	0.99817
168.90000	0.96177
168.88333	1.23706
168.88333	1.48319
168.88333	1.57678
168.86667	1.57404
168.86667	1.57565
168.83333	1.56583
168.78333	1.48480
168.68333	1.42713
168.56667	1.37462
168.46667	1.50623
168.43333	1.50655
168.40000	1.50075
168.38333	1.50075
168.38333	1.49720
168.33333	1.48834
168.25000	1.47771
168.20000	1.46547
168.13333	1.45871
168.08333	1.45403
168.03333	1.44759
167.98333	1.44308
167.91667	1.46016
167.76667	1.44292
167.66667	1.44147
167.61667	1.43583
167.56667	1.44824
167.50000	1.44630
167.43333	1.46579
167.38333	1.45307
167.30000	1.44308
167.23333	1.43487
167.16667	1.42407
167.08333	1.41231
167.05000	1.40023
167.01667	1.39685
166.96667	1.38864
166.90000	1.38300
166.86667	1.37269
166.81667	1.36383
166.76667	1.36061
166.73333	1.35658
166.70000	1.35432
166.66667	1.34563
166.61667	1.33693
166.55000	1.33387
166.50000	1.32179
166.48333	1.32018
166.46667	1.31615
166.45000	1.31260
166.31667	1.34224
166.20000	1.03023
166.16667	0.48480
166.13333	0.55826
166.08333	0.83258
166.03333	1.30262
165.98333	1.28570
165.91667	1.23883
165.86667	1.20597
165.83333	1.19405
165.80000	1.21644
165.78333	1.21644
165.76667	1.21531
165.73333	1.18197
165.71667	1.20081
