Polarization of Light 'Brewsters' Data File Fri, Mar 13, 2026 3:54 PM
Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	1.00236
179.98333	1.02926
179.95000	1.02411
179.85000	1.02491
179.76667	1.01444
179.63333	1.00784
179.46667	1.02121
179.35000	1.03232
179.28333	1.01815
179.23333	1.00365
179.18333	0.97804
179.11667	0.86947
179.03333	0.67456
178.91667	0.69453
178.78333	0.82791
178.65000	0.34402
178.53333	0.12994
178.43333	0.13719
178.31667	0.11689
178.26667	0.08049
178.16667	0.02492
178.10000	0.00800
178.05000	0.00301
177.96667	0.00269
177.90000	0.00188
177.86667	0.00269
177.85000	0.00253
177.83333	0.00253
177.78333	0.00172
177.76667	0.00253
177.73333	0.03152
177.65000	0.06889
177.48333	0.26847
177.25000	0.83145
177.11667	0.88074
177.03333	0.83467
177.01667	0.75993
176.98333	0.53909
176.91667	0.27733
176.85000	0.11593
176.81667	0.06986
176.75000	0.02476
176.71667	0.02266
176.68333	0.02379
176.66667	0.01235
176.63333	0.00381
176.53333	0.00671
176.38333	0.04199
176.35000	0.08613
176.31667	0.08677
176.28333	0.07952
176.26667	0.07759
176.18333	0.12269
176.08333	0.39927
175.98333	0.84450
175.86667	0.97514
175.78333	0.97627
175.75000	0.96241
175.73333	0.94646
175.70000	0.81502
175.61667	0.86625
175.48333	0.95484
175.30000	0.99994
175.23333	1.01203
175.18333	0.99592
175.16667	0.99253
175.15000	0.96596
175.10000	0.93616
175.00000	0.99028
174.93333	1.00542
174.85000	1.02958
174.76667	1.02668
174.68333	1.03570
174.60000	1.04279
174.56667	1.04601
174.55000	1.04231
174.51667	1.03522
174.48333	1.03007
174.40000	1.02604
174.25000	1.03828
174.15000	1.03071
174.13333	1.01444
174.10000	0.99366
174.08333	0.94131
174.01667	0.87575
173.91667	0.83500
173.85000	0.90813
173.76667	0.88058
173.70000	0.88590
173.60000	0.96370
173.46667	1.01444
173.33333	1.05101
173.26667	1.04827
173.21667	1.04231
173.16667	1.01654
173.13333	0.96998
173.10000	0.87543
173.06667	0.77024
172.98333	0.75800
172.86667	0.87656
172.80000	0.87849
172.71667	1.01444
172.63333	1.00462
172.58333	1.02958
172.46667	1.03184
172.28333	1.06405
172.16667	1.06647
172.11667	1.06792
172.08333	1.07001
172.06667	1.06663
172.03333	1.06969
171.98333	1.06357
171.93333	1.05423
171.90000	1.04634
171.88333	1.01960
171.86667	0.98931
171.85000	0.95017
171.80000	0.81003
171.76667	0.78748
171.71667	0.87172
171.60000	0.92569
171.48333	0.98706
171.35000	1.03216
171.26667	1.03554
171.25000	1.03635
171.18333	1.00945
171.13333	1.01106
171.08333	1.00429
171.01667	1.02185
170.95000	1.02250
170.88333	1.03184
170.80000	1.03764
170.71667	1.02620
170.66667	0.99946
170.60000	0.97127
170.51667	0.99721
170.41667	0.95516
170.28333	1.01025
170.16667	1.05197
170.13333	1.02443
170.06667	1.04779
169.96667	1.08129
169.88333	1.08612
169.83333	1.09208
169.81667	1.08725
169.81667	1.08516
169.76667	1.08032
