Polarization of Light 'Brewsters' Data File Fri, Mar 13, 2026 3:43 PM
Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	0.53861
180.00000	0.54779
180.00000	0.53522
180.00000	0.53780
180.00000	0.59096
179.98333	0.91795
179.95000	1.13429
179.88333	1.16554
179.86667	1.15426
179.86667	1.15458
179.86667	1.17117
179.85000	1.14669
179.85000	1.13799
179.81667	0.94582
179.78333	0.19212
179.76667	0.03458
179.73333	0.02975
179.70000	0.02814
179.66667	0.01541
179.63333	0.00897
179.61667	0.00607
179.58333	0.00156
179.51667	0.00108
179.46667	0.00204
179.41667	0.00236
179.38333	0.00140
179.35000	0.00172
179.31667	-0.00005
179.25000	0.00349
179.16667	0.03104
179.10000	0.09144
179.03333	0.08113
178.96667	0.03136
178.90000	0.09595
178.85000	0.48642
178.78333	0.73867
178.75000	1.02121
178.71667	1.17005
178.68333	1.18068
178.63333	1.17504
178.55000	1.17794
178.48333	1.20017
178.36667	1.18213
178.23333	1.10110
178.11667	0.99833
178.01667	1.17794
177.90000	1.18342
177.81667	1.17939
177.78333	1.18664
177.75000	1.19276
177.70000	1.09047
177.66667	1.15039
177.60000	1.16989
177.55000	1.15217
177.50000	1.13912
177.45000	0.84998
177.40000	0.66650
177.35000	0.92585
177.23333	0.88219
177.15000	0.63719
177.10000	0.08870
177.06667	0.07936
177.03333	0.52314
177.00000	1.10143
176.95000	0.65185
176.90000	0.49028
176.81667	0.80842
176.75000	0.88203
176.70000	1.05826
176.65000	1.19952
176.56667	1.22788
176.48333	1.23947
176.41667	1.23239
176.36667	1.23480
176.35000	1.23239
176.31667	1.23464
176.28333	1.23818
176.21667	1.23802
176.13333	1.24092
176.05000	1.24624
175.98333	1.24221
175.93333	1.24753
175.86667	1.24576
175.78333	1.24930
175.68333	1.24962
175.65000	1.25333
175.61667	1.25494
175.61667	1.25526
175.60000	1.25445
175.58333	1.25848
175.58333	1.25751
175.56667	1.25880
175.55000	1.25606
175.53333	1.25027
175.50000	1.19405
175.45000	0.92246
175.41667	0.77523
175.38333	0.37801
175.35000	0.07823
175.33333	0.03909
175.30000	0.05633
175.26667	0.04618
175.25000	0.04360
175.21667	0.05327
175.18333	0.05697
175.16667	0.05230
175.15000	0.49624
175.13333	0.87527
175.10000	0.79666
175.05000	1.07082
175.01667	1.24994
174.98333	1.25687
174.95000	1.18793
174.93333	1.18583
174.91667	1.17955
174.90000	1.14041
174.83333	0.98690
174.76667	1.15265
174.66667	0.96902
174.55000	0.82710
174.46667	0.82807
174.41667	0.78667
174.40000	0.73754
174.36667	0.92730
174.35000	1.11914
174.31667	1.14894
174.30000	1.22498
174.28333	1.13090
174.25000	1.09933
174.20000	1.11093
174.11667	1.25478
174.05000	1.27475
173.98333	1.30117
173.96667	1.30197
173.96667	1.29698
173.95000	1.30004
173.93333	1.30374
173.90000	1.27572
173.88333	1.30036
173.86667	1.29972
173.80000	1.29762
173.71667	1.24930
173.61667	1.22965
173.50000	1.13815
173.40000	0.96241
173.35000	1.00284
173.35000	1.00832
173.31667	1.03554
173.30000	1.00848
173.25000	0.99753
173.20000	1.21789
173.15000	1.30874
173.10000	1.32501
173.08333	1.32565
173.06667	1.32034
173.06667	1.32227
173.03333	1.32356
173.01667	1.32920
173.00000	1.32920
172.96667	1.33467
172.93333	1.33516
172.91667	1.33918
172.88333	1.33403
172.83333	1.32050
172.78333	1.32678
172.66667	1.33806
172.53333	1.33644
172.45000	1.34257
172.43333	1.34933
172.41667	1.35239
172.40000	1.34998
172.36667	1.35368
172.33333	1.35400
172.30000	1.35191
172.23333	1.35900
172.18333	1.35465
172.11667	1.35352
172.06667	1.35706
172.03333	1.34611
171.98333	1.25606
171.95000	1.14363
171.90000	1.16248
171.86667	1.11157
171.83333	1.11431
171.80000	1.16070
171.75000	1.18986
171.70000	1.26331
171.66667	1.30230
171.61667	1.32678
171.56667	1.34176
171.53333	1.36351
171.50000	1.37059
171.48333	1.37382
171.46667	1.36850
171.45000	1.37349
171.41667	1.37543
171.40000	1.37510
171.36667	1.37527
171.36667	1.36528
171.36667	1.20516
171.35000	1.00671
171.28333	1.18632
171.23333	1.28329
171.23333	1.34434
171.23333	1.32227
171.23333	1.34337
171.23333	1.33354
171.23333	1.34869
171.23333	1.37446
171.23333	1.37172
171.25000	1.36914
171.25000	1.36705
171.25000	1.35883
171.25000	1.28667
171.25000	1.29843
171.21667	1.34015
171.03333	1.36544
170.68333	1.37237
170.26667	1.25043
170.10000	1.22079
170.10000	1.22514
170.08333	1.10046
170.06667	1.22675
170.03333	1.26557
169.96667	1.38074
169.90000	1.40893
169.81667	1.42472
169.73333	1.43438
169.70000	1.43084
169.65000	1.42552
169.56667	1.42713
169.43333	1.42440
169.28333	1.39153
