Polarization of Light 'Brewsters' Data File Mon, Mar 16, 2026 5:00 PM
Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	0.06341
180.00000	0.06052
180.00000	0.06358
180.00000	0.06213
180.00000	0.06213
180.00000	0.05842
180.00000	0.05729
180.00000	0.06374
180.00000	0.06245
180.00000	0.06052
180.00000	0.06164
180.00000	0.06229
180.00000	0.06116
180.00000	0.05842
180.00000	0.06213
180.00000	0.05987
180.00000	0.06341
180.00000	0.06180
180.00000	0.05874
180.00000	0.06454
180.00000	0.06422
180.00000	0.06470
180.00000	0.06084
180.00000	0.05955
180.00000	0.06293
180.00000	0.06164
180.00000	0.05939
180.00000	0.06229
180.00000	0.06180
180.00000	0.06100
180.00000	0.06100
179.98333	0.05987
179.98333	0.06019
179.98333	0.06213
179.98333	0.06503
179.96667	0.06293
179.95000	0.06261
179.90000	0.06406
179.85000	0.06535
179.85000	0.06712
179.83333	0.06712
179.81667	0.06261
179.80000	0.06567
179.76667	0.06229
179.71667	0.06422
179.65000	0.06744
179.58333	0.06164
179.53333	0.06519
179.48333	0.06164
179.43333	0.06277
179.38333	0.06052
179.30000	0.06309
179.21667	0.06325
179.13333	0.06213
179.00000	0.06213
178.85000	0.06035
178.76667	0.06374
178.71667	0.06100
178.66667	0.05794
178.61667	0.06003
178.55000	0.06132
178.46667	0.05939
178.40000	0.05456
178.35000	0.03265
178.26667	0.03361
178.18333	0.00236
178.11667	0.01348
178.05000	0.00381
178.00000	0.00269
177.96667	-0.00005
177.93333	0.00075
177.93333	0.00188
177.93333	0.00075
177.93333	0.00204
177.95000	0.00124
177.95000	0.00092
177.95000	0.00188
177.95000	0.00333
177.95000	0.00285
177.95000	0.00075
177.95000	0.00333
177.95000	0.00156
177.95000	0.00027
177.93333	0.00317
177.93333	0.00349
177.93333	0.00977
177.93333	0.00688
177.93333	0.02943
177.91667	0.05375
177.91667	0.05085
177.91667	0.05037
177.90000	0.04876
177.83333	0.00462
177.76667	0.00188
177.68333	0.00188
177.55000	0.00253
177.48333	0.01928
177.41667	0.03571
177.35000	0.01751
177.30000	0.00446
177.26667	0.00478
177.23333	0.00253
177.18333	0.00124
177.10000	0.00510
176.95000	0.00140
176.78333	0.00043
176.75000	-0.00005
176.73333	-0.00037
176.73333	0.00236
176.73333	0.00156
176.73333	-0.00086
176.76667	-0.00005
176.78333	0.00156
176.78333	-0.00037
176.78333	0.00156
176.78333	0.00220
176.78333	0.00075
176.75000	0.00333
176.73333	0.00220
176.73333	0.00285
176.68333	0.00108
176.61667	0.00124
176.46667	0.03039
176.25000	0.02218
175.95000	0.05601
175.70000	0.05391
175.55000	0.00881
175.53333	0.04425
175.53333	0.05890
175.53333	0.05987
175.53333	0.05923
175.53333	0.05568
175.53333	0.05745
175.53333	0.05729
175.50000	0.05488
175.41667	0.05472
175.33333	0.05311
175.23333	0.05665
175.13333	0.05584
175.05000	0.05713
174.96667	0.05407
174.93333	0.05697
174.91667	0.03555
174.88333	0.00188
174.85000	0.00398
174.80000	0.05101
174.70000	0.05439
174.53333	0.05230
174.35000	0.05262
174.23333	0.05085
174.13333	0.04908
174.08333	0.05133
174.03333	0.05359
173.98333	0.05681
173.91667	0.05311
173.85000	0.04038
173.75000	0.01799
173.65000	0.02492
173.56667	0.02459
173.50000	0.04135
173.36667	0.04344
173.21667	0.05246
173.08333	0.05343
172.96667	0.05262
172.96667	0.05456
172.96667	0.05117
172.98333	0.04972
173.00000	0.05520
173.00000	0.05327
173.00000	0.05182
173.00000	0.05246
173.00000	0.05278
173.00000	0.05294
173.00000	0.05584
172.98333	0.05391
172.95000	0.05294
172.90000	0.05423
172.75000	0.05037
172.56667	0.00430
172.41667	0.04231
172.23333	0.04296
172.06667	0.04956
171.96667	0.05069
171.85000	0.05101
171.75000	0.04908
171.66667	0.05262
171.60000	0.05439
171.51667	0.05133
171.41667	0.04940
171.30000	0.05005
171.18333	0.05149
171.11667	0.04940
171.06667	0.04666
171.01667	0.04956
170.95000	0.04408
170.90000	0.04763
170.81667	0.04553
170.78333	0.04988
170.76667	0.05005
170.73333	0.04779
170.71667	0.04811
170.68333	0.04602
170.66667	0.04731
170.61667	0.04908
170.58333	0.04779
170.55000	0.04747
170.55000	0.04940
170.55000	0.04988
170.56667	0.04956
170.58333	0.04811
170.58333	0.04747
170.58333	0.04860
170.58333	0.05069
170.58333	0.04892
170.56667	0.04827
170.56667	0.05037
170.55000	0.05005
170.55000	0.05101
170.53333	0.05069
170.50000	0.04747
170.45000	0.04940
170.36667	0.04119
170.26667	0.01960
170.16667	0.03023
170.05000	0.03281
169.96667	0.03281
169.90000	0.04747
169.80000	0.04360
169.73333	0.04763
169.66667	0.04811
169.60000	0.04666
169.55000	0.04908
169.50000	0.04924
169.46667	0.04505
169.41667	0.04086
169.36667	0.03635
169.31667	0.03055
169.28333	0.02363
169.26667	0.00575
169.26667	0.00639
169.28333	0.00800
169.28333	0.00736
169.30000	0.01074
169.30000	0.01332
169.30000	0.00929
169.30000	0.01525
169.30000	0.01219
169.28333	0.02250
169.25000	0.04360
169.16667	0.04860
169.05000	0.04618
168.86667	0.04215
168.68333	0.04473
168.50000	0.04441
168.38333	0.04473
168.31667	0.04312
168.28333	0.04247
168.23333	0.04328
168.20000	0.04312
168.16667	0.04408
168.11667	0.04215
168.06667	0.04247
168.00000	0.04811
167.93333	0.04441
167.86667	0.04264
167.78333	0.04296
167.70000	0.03925
167.60000	0.04119
167.51667	0.04344
167.45000	0.03974
167.38333	0.04425
167.31667	0.04650
167.25000	0.04344
167.18333	0.04376
167.10000	0.04521
167.03333	0.04312
167.00000	0.04570
166.98333	0.04441
167.00000	0.04102
167.00000	0.04698
167.01667	0.04344
167.01667	0.04521
167.01667	0.04489
167.01667	0.04070
167.01667	0.04650
167.00000	0.04553
166.98333	0.04296
166.91667	0.04247
166.76667	0.04425
166.58333	0.04199
166.46667	0.04151
166.38333	0.04280
166.35000	0.04328
166.31667	0.04119
166.25000	0.04022
166.11667	0.03829
165.96667	0.04247
165.80000	0.03925
165.66667	0.04022
165.60000	0.04119
165.56667	0.04264
165.53333	0.03941
165.48333	0.04006
165.43333	0.04086
165.43333	0.04102
165.43333	0.03941
165.43333	0.03941
165.45000	0.04392
165.45000	0.04215
165.45000	0.04215
165.45000	0.04312
165.45000	0.04344
165.45000	0.04247
165.45000	0.04247
165.43333	0.04183
165.43333	0.03780
165.41667	0.04119
165.41667	0.04199
165.41667	0.04199
165.41667	0.04070
165.41667	0.04231
165.41667	0.04135
165.41667	0.04296
165.41667	0.04392
165.41667	0.03974
165.41667	0.04038
165.41667	0.04247
165.38333	0.04022
165.35000	0.03925
165.28333	0.03957
165.20000	0.04264
165.10000	0.04102
164.95000	0.04280
164.78333	0.04344
164.61667	0.04054
164.48333	0.03941
164.45000	0.03925
164.43333	0.04038
164.41667	0.03957
164.40000	0.03941
164.38333	0.04199
164.31667	0.04328
164.23333	0.04151
164.18333	0.03974
164.15000	0.03829
164.10000	0.03700
164.08333	0.03796
164.08333	0.03812
164.08333	0.03974
164.10000	0.03684
164.10000	0.03329
164.10000	0.04038
164.10000	0.03909
164.10000	0.04054
164.10000	0.03716
164.10000	0.03829
164.10000	0.04038
164.08333	0.03812
164.08333	0.03587
164.08333	0.03635
164.06667	0.03893
164.05000	0.03732
164.03333	0.03684
164.00000	0.03506
163.98333	0.03748
163.95000	0.03925
163.91667	0.03506
163.86667	0.03925
163.80000	0.03974
163.75000	0.04054
163.68333	0.03635
163.60000	0.03990
163.48333	0.03877
163.36667	0.03458
163.30000	0.03748
163.25000	0.03168
163.23333	0.03748
163.21667	0.03668
163.20000	0.03651
163.20000	0.03619
163.18333	0.03909
163.16667	0.03909
163.13333	0.04038
163.10000	0.04022
163.06667	0.03716
163.03333	0.03587
163.00000	0.03442
163.00000	0.03394
163.01667	0.03635
163.01667	0.03571
163.01667	0.03587
163.01667	0.03329
163.01667	0.03571
163.01667	0.03394
163.01667	0.03200
163.01667	0.03378
163.01667	0.03394
163.00000	0.03120
162.98333	0.03265
162.95000	0.03651
