Polarization of Light 'Brewsters' Data File Mon, Mar 16, 2026 4:15 PM
Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	0.28571
180.00000	0.28909
180.00000	0.29038
180.00000	0.28828
180.00000	0.28941
180.00000	0.28941
180.00000	0.29086
180.00000	0.28458
180.00000	0.28684
180.00000	0.28619
180.00000	0.28893
180.00000	0.28877
180.00000	0.28941
180.00000	0.28587
180.00000	0.29070
180.00000	0.28684
180.00000	0.28957
180.00000	0.28458
180.00000	0.28812
180.00000	0.28216
180.00000	0.28812
180.00000	0.28684
180.00000	0.28828
180.00000	0.28780
180.00000	0.28845
180.00000	0.28893
180.00000	0.28764
180.00000	0.28748
180.00000	0.28925
180.00000	0.28587
180.00000	0.28716
180.00000	0.28716
180.00000	0.28700
180.00000	0.28635
180.00000	0.28732
180.00000	0.28667
180.01667	0.28941
180.01667	0.28684
180.01667	0.28587
180.00000	0.29022
180.00000	0.28716
180.00000	0.28603
180.00000	0.28780
180.00000	0.28877
180.00000	0.28893
180.00000	0.28651
180.00000	0.28780
180.00000	0.28990
180.00000	0.28539
180.00000	0.28893
180.00000	0.28555
180.00000	0.28990
180.00000	0.28587
180.00000	0.29167
179.98333	0.29070
179.98333	0.28909
179.88333	0.27717
179.68333	0.13139
179.45000	0.00526
179.35000	0.00188
179.35000	0.00301
179.33333	0.00236
179.31667	0.00446
179.28333	-0.00053
179.20000	0.00140
179.13333	0.02331
179.06667	0.06052
179.00000	0.04988
178.95000	0.02266
178.88333	0.00108
178.88333	0.00639
178.85000	0.02153
178.81667	0.02089
178.76667	0.02524
178.73333	0.06503
178.71667	0.06180
178.70000	0.06197
178.65000	0.10497
178.61667	0.10787
178.56667	0.09628
178.48333	0.02492
178.41667	0.06970
178.38333	0.03426
178.36667	0.14025
178.36667	0.16908
178.36667	0.15716
178.31667	0.14573
178.26667	0.14202
178.20000	0.12124
178.15000	0.15137
178.11667	0.14186
178.10000	0.14541
178.06667	0.15507
178.01667	0.13445
178.00000	0.12736
177.95000	0.11271
177.90000	0.12124
177.80000	0.11963
177.71667	0.09354
177.66667	0.03845
177.56667	0.01042
177.45000	0.00381
177.33333	0.00124
177.21667	0.00075
177.15000	0.00124
177.13333	0.00075
177.11667	0.00220
177.08333	0.05005
177.01667	0.04988
176.96667	0.11093
176.90000	0.11206
176.80000	0.11673
