Polarization of Light 'Brewsters' Data File Mon, Mar 16, 2026 3:43 PM
Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	1.20500
180.00000	1.20307
180.00000	1.20436
180.00000	1.20581
180.00000	1.20548
180.00000	1.21241
180.00000	1.21902
180.00000	1.21579
180.00000	1.21902
180.00000	1.22288
180.00000	1.21289
180.00000	1.20693
180.00000	1.20903
180.00000	1.21000
180.00000	1.21660
180.00000	1.21885
180.00000	1.22030
180.00000	1.22240
180.00000	1.21950
180.00000	1.21499
180.00000	1.21579
180.00000	1.21563
180.00000	1.21628
180.00000	1.21144
180.00000	1.20565
180.00000	1.21209
180.00000	1.21676
180.00000	1.21370
180.00000	1.21773
180.00000	1.21837
180.00000	1.21161
180.00000	1.20661
180.00000	1.21112
180.00000	1.21096
180.00000	1.21547
180.00000	1.21531
180.00000	1.21177
180.00000	1.21660
180.00000	1.21386
180.00000	1.21853
180.00000	1.21112
180.00000	1.21499
180.00000	1.21853
180.00000	1.21370
180.00000	1.21692
180.00000	1.21950
180.00000	1.21612
180.00000	1.21612
180.00000	1.21644
180.00000	1.21789
180.00000	1.21241
180.00000	1.21434
180.00000	1.21676
180.00000	1.21434
180.00000	1.21644
180.00000	1.21740
180.00000	1.21499
180.00000	1.21402
180.00000	1.21418
180.00000	1.21660
180.00000	1.22030
180.00000	1.21708
180.00000	1.21773
180.00000	1.21483
180.00000	1.21225
180.00000	1.21354
180.00000	1.21289
180.00000	1.20758
180.00000	1.21998
180.00000	1.22047
180.00000	1.22514
180.00000	1.22304
180.00000	1.22385
180.00000	1.22111
180.00000	1.21144
180.00000	1.21112
180.00000	1.21418
180.00000	1.21418
180.00000	1.22111
180.00000	1.21596
180.00000	1.22111
180.00000	1.21402
180.00000	1.20822
180.00000	1.20114
180.00000	1.21322
180.00000	1.21547
180.00000	1.21547
180.00000	1.21563
180.00000	1.21660
180.00000	1.21531
180.00000	1.21773
180.00000	1.21692
180.00000	1.21644
180.00000	1.21547
180.00000	1.21708
180.00000	1.21531
180.00000	1.21805
180.00000	1.21467
180.00000	1.21499
180.00000	1.21708
180.00000	1.21837
180.00000	1.21757
180.00000	1.21483
180.00000	1.21724
180.00000	1.21499
180.00000	1.21821
180.00000	1.21628
180.00000	1.21306
180.00000	1.21531
180.00000	1.21676
180.00000	1.21708
180.00000	1.21628
180.00000	1.21644
180.00000	1.21724
180.00000	1.21499
180.00000	1.21853
180.00000	1.21853
180.00000	1.21821
180.00000	1.21724
180.00000	1.21950
180.00000	1.21805
180.00000	1.21515
180.00000	1.21628
180.00000	1.21499
180.00000	1.21853
180.00000	1.21757
180.00000	1.21692
180.00000	1.21531
180.00000	1.21467
180.00000	1.21757
180.00000	1.21692
180.00000	1.21837
180.00000	1.21306
180.00000	1.21483
180.00000	1.21740
180.00000	1.21692
180.00000	1.21515
180.00000	1.21515
180.00000	1.21644
180.00000	1.21547
180.00000	1.21805
180.00000	1.21934
180.00000	1.21757
180.00000	1.21499
180.00000	1.21757
180.00000	1.21885
180.00000	1.21612
180.00000	1.21628
180.00000	1.21563
180.00000	1.21418
180.00000	1.21724
180.00000	1.21467
180.00000	1.21418
180.00000	1.21596
180.00000	1.21708
180.00000	1.21563
180.00000	1.21515
180.00000	1.21628
180.00000	1.21628
180.00000	1.21757
180.00000	1.21724
180.00000	1.21596
180.00000	1.21740
180.00000	1.21692
180.00000	1.21563
180.00000	1.21853
180.00000	1.21628
180.00000	1.21821
180.00000	1.21692
180.00000	1.21596
180.00000	1.21789
180.00000	1.21853
180.00000	1.21773
180.00000	1.21692
180.00000	1.21821
180.00000	1.21837
180.00000	1.21354
180.00000	1.21724
180.00000	1.21676
180.00000	1.21628
180.00000	1.21773
180.00000	1.21596
180.00000	1.21757
180.00000	1.21740
180.00000	1.21740
180.00000	1.21692
180.00000	1.21773
180.00000	1.21612
180.00000	1.21483
180.00000	1.21708
180.00000	1.21853
180.00000	1.21676
180.00000	1.21547
180.00000	1.21724
180.00000	1.21757
180.00000	1.21740
180.00000	1.21547
180.00000	1.21773
180.00000	1.21660
180.00000	1.21628
180.00000	1.21579
180.00000	1.21531
180.00000	1.22030
180.00000	1.21869
180.00000	1.21757
180.00000	1.21434
180.00000	1.21612
180.00000	1.21402
180.00000	1.21644
180.00000	1.21579
180.00000	1.21612
180.00000	1.21434
180.00000	1.21628
180.00000	1.21644
180.00000	1.21579
180.00000	1.21612
180.00000	1.21692
180.00000	1.21805
180.00000	1.21853
180.00000	1.21644
180.00000	1.21902
180.00000	1.21757
180.00000	1.21853
180.00000	1.21547
180.00000	1.21402
180.00000	1.21853
180.00000	1.21386
180.00000	1.21708
180.00000	1.21757
180.00000	1.21724
180.00000	1.21692
180.00000	1.21692
180.00000	1.21628
180.00000	1.21596
180.00000	1.21853
180.00000	1.21966
180.00000	1.21563
180.00000	1.21386
180.00000	1.21257
180.00000	1.21708
180.00000	1.21531
180.00000	1.21596
180.00000	1.21757
180.00000	1.21628
180.00000	1.21579
180.00000	1.21724
180.00000	1.21676
180.00000	1.21306
180.00000	1.21531
180.00000	1.21805
180.00000	1.21757
180.00000	1.21805
180.00000	1.21676
180.00000	1.21434
180.00000	1.21837
180.00000	1.21789
180.00000	1.21708
180.00000	1.21596
180.00000	1.21789
180.00000	1.21789
180.00000	1.21789
180.00000	1.21757
180.00000	1.21789
180.00000	1.21434
180.00000	1.21805
180.00000	1.21563
180.00000	1.21805
180.00000	1.21821
180.00000	1.21773
180.00000	1.21579
180.00000	1.21740
180.00000	1.21612
180.00000	1.21531
180.00000	1.21676
180.00000	1.21644
180.00000	1.21628
180.00000	1.21563
180.00000	1.21531
180.00000	1.21499
180.00000	1.21499
180.00000	1.21563
180.00000	1.21773
180.00000	1.21612
180.00000	1.21821
180.00000	1.21467
180.00000	1.21724
180.00000	1.21563
180.00000	1.21386
180.00000	1.21338
