Polarization of Light 'theta' Data File Mon, Mar 16, 2026 3:59 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	1.22336
0.00000	1.22175
0.00000	1.21757
0.00000	1.22030
0.00000	1.22095
0.00000	1.21692
0.00000	1.22143
0.00000	1.22192
0.00000	1.22014
0.00000	1.22143
0.00000	1.21885
0.00000	1.22095
0.00000	1.22063
0.00000	1.21837
0.00000	1.21837
0.00000	1.22224
0.00000	1.22159
0.00000	1.22111
0.00000	1.22192
0.00000	1.22030
0.00000	1.22175
0.00000	1.22175
0.00000	1.22224
0.00000	1.22143
0.00000	1.22175
0.00000	1.22079
0.00000	1.21950
0.00000	1.21869
0.00000	1.22224
0.00000	1.22336
0.00000	1.22095
0.00000	1.21918
0.00000	1.22417
0.00000	1.22256
0.00000	1.22127
0.00000	1.22417
0.00000	1.21676
0.00000	1.22014
0.00000	1.22143
0.00000	1.22224
0.00000	1.22127
0.00000	1.22256
0.00000	1.22079
0.00000	1.21934
0.00000	1.22127
0.00000	1.22224
0.00000	1.22047
0.00000	1.22079
0.00000	1.22481
0.00000	1.22336
0.00000	1.22272
0.00000	1.22272
0.00000	1.22208
0.00000	1.22208
0.00000	1.22401
0.00000	1.21966
0.00000	1.22095
0.00000	1.22127
0.00000	1.22111
0.00000	1.22175
0.00000	1.22481
0.00000	1.21902
0.00000	1.22256
0.00000	1.22079
0.00000	1.22159
0.00000	1.22465
0.00000	1.22079
0.00000	1.22272
0.00000	1.22562
0.00000	1.22175
0.00000	1.22127
0.00000	1.22159
0.00000	1.22030
0.00000	1.22030
0.00000	1.22288
0.00000	1.22224
0.00000	1.22175
0.00000	1.22111
0.00000	1.22336
0.00000	1.22385
0.00000	1.22449
0.00000	1.22288
0.00000	1.22385
0.00000	1.21322
0.00000	1.22272
0.00000	1.22353
0.00000	1.22594
0.00000	1.22353
0.00000	1.22272
0.00000	1.22369
0.00000	1.22353
0.00000	1.22095
0.00000	1.22336
0.00000	1.22417
0.00000	1.22465
0.00000	1.22095
0.00000	1.22256
0.00000	1.22353
0.00000	1.22304
0.00000	1.22320
0.00000	1.22498
0.00000	1.22127
0.00000	1.22353
0.00000	1.22288
0.00000	1.22288
0.00000	1.22610
0.00000	1.22224
0.00000	1.22240
0.00000	1.22465
0.00000	1.22063
0.00000	1.22353
0.00000	1.22401
0.00000	1.22224
0.00000	1.22240
0.00000	1.22514
0.00000	1.22481
0.00000	1.22481
0.00000	1.22208
0.00000	1.22336
0.00000	1.22192
0.00000	1.22594
0.00000	1.22192
0.00000	1.22643
0.00000	1.22014
0.00000	1.22304
0.00000	1.22530
0.00000	1.22030
0.00000	1.22369
0.00000	1.22417
0.00000	1.22353
0.00000	1.21950
0.00000	1.22417
0.00000	1.22369
0.00000	1.22610
0.00000	1.22159
0.00000	1.22481
0.00000	1.22481
0.00000	1.22336
0.00000	1.22175
0.00000	1.22433
0.00000	1.22369
0.00000	1.22643
0.00000	1.22562
0.00000	1.22063
0.00000	1.22417
0.00000	1.22530
0.00000	1.22369
0.00000	1.22530
0.00000	1.22465
0.00000	1.22449
0.00000	1.22208
0.00000	1.22111
0.00000	1.22192
0.00000	1.22546
0.00000	1.22208
0.00000	1.22385
0.00000	1.22240
0.00000	1.22143
0.00000	1.22707
0.00000	1.22417
0.00000	1.22320
0.00000	1.22643
0.00000	1.22449
0.00000	1.22707
0.00000	1.22562
0.00000	1.22385
0.00000	1.22336
0.00000	1.22449
0.00000	1.22546
0.00000	1.22417
0.00000	1.22336
0.00000	1.22691
0.00000	1.22594
0.00000	1.22449
0.00000	1.22272
0.00000	1.22643
0.00000	1.22498
0.00000	1.22675
0.00000	1.22481
0.00000	1.22771
0.00000	1.22159
0.00000	1.22562
0.00000	1.22433
0.00000	1.22530
0.00000	1.22449
0.00000	1.22465
0.00000	1.22127
0.00000	1.22095
0.00000	1.22626
0.00000	1.22707
0.00000	1.22578
0.00000	1.22562
0.00000	1.22659
0.00000	1.22481
0.00000	1.22449
0.00000	1.22449
0.00000	1.22481
0.00000	1.22610
0.00000	1.22578
0.00000	1.22546
0.00000	1.22562
0.00000	1.22288
0.00000	1.22594
0.00000	1.22433
0.00000	1.22449
0.00000	1.22691
0.00000	1.22643
0.00000	1.22417
0.00000	1.22401
0.00000	1.22610
0.00000	1.22836
0.00000	1.22353
0.00000	1.22336
0.00000	1.22691
0.00000	1.22465
0.00000	1.22530
0.00000	1.22546
0.00000	1.22626
0.00000	1.22514
0.00000	1.22401
0.00000	1.22336
0.00000	1.22675
0.00000	1.22691
0.00000	1.22578
0.00000	1.22562
0.00000	1.22514
0.00000	1.22691
0.00000	1.22594
0.00000	1.22771
0.00000	1.22417
0.00000	1.22659
0.00000	1.22143
0.00000	1.22723
0.00000	1.22691
0.00000	1.22336
0.00000	1.22594
0.00000	1.22578
0.00000	1.22481
0.00000	1.22498
0.00000	1.22353
0.00000	1.22707
0.00000	1.22578
0.00000	1.22578
0.00000	1.22336
0.00000	1.22514
0.00000	1.22594
0.00000	1.22578
0.00000	1.22626
0.00000	1.22546
0.00000	1.22433
0.00000	1.22691
0.00000	1.22788
0.00000	1.22498
0.00000	1.22788
0.00000	1.22224
0.00000	1.22755
0.00000	1.22691
0.00000	1.22739
0.00000	1.22820
0.00000	1.22498
0.00000	1.22433
0.00000	1.22804
0.00000	1.22514
0.00000	1.22449
0.00000	1.22481
0.00000	1.22691
0.00000	1.22610
0.00000	1.22562
0.00000	1.22498
0.00000	1.22401
0.00000	1.22401
0.00000	1.22610
0.00000	1.22481
0.00000	1.22353
0.00000	1.22691
0.00000	1.22514
0.00000	1.22707
0.00000	1.21966
0.00000	1.22530
0.00000	1.22159
0.00000	1.22900
0.00000	1.22498
0.00000	1.22626
0.00000	1.22707
0.00000	1.22723
0.00000	1.22643
0.00000	1.22562
0.00000	1.22643
0.00000	1.22707
0.00000	1.22449
0.00000	1.22514
0.00000	1.22755
0.00000	1.22626
0.00000	1.22659
0.00000	1.22369
0.00000	1.22723
0.00000	1.22546
0.00000	1.22852
0.00000	1.22530
0.00000	1.22578
0.00000	1.22643
0.00000	1.22594
0.00000	1.22594
0.00000	1.22578
0.00000	1.22659
0.00000	1.22643
0.00000	1.22788
0.00000	1.22723
0.00000	1.22932
0.00000	1.22820
0.00000	1.22610
0.00000	1.22820
0.00000	1.22385
0.00000	1.22594
0.00000	1.22594
0.00000	1.22723
0.00000	1.22546
0.00000	1.22481
0.00000	1.22836
0.00000	1.22578
0.00000	1.22498
0.00000	1.22820
0.00000	1.22788
