Polarization of Light 'Brewsters' Data File Mon, Mar 16, 2026 4:23 PM
Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	0.16763
180.00000	0.16683
180.00000	0.16828
180.00000	0.17166
180.00000	0.16828
180.00000	0.16715
180.00000	0.17134
180.00000	0.16925
180.00000	0.16860
180.00000	0.16892
180.00000	0.16876
180.00000	0.16667
180.00000	0.16957
180.00000	0.17102
180.00000	0.16925
180.00000	0.16876
180.00000	0.16876
180.00000	0.17070
180.00000	0.17327
180.00000	0.16876
180.00000	0.16683
180.00000	0.16747
180.00000	0.17150
180.00000	0.17150
180.00000	0.17021
180.00000	0.16763
180.00000	0.16796
180.00000	0.16699
180.00000	0.16892
180.00000	0.17053
180.00000	0.16635
180.00000	0.16812
180.00000	0.16908
180.00000	0.17070
180.00000	0.16989
180.00000	0.17053
180.00000	0.17118
180.00000	0.16957
180.00000	0.16796
180.00000	0.17279
180.00000	0.16925
180.00000	0.16780
180.00000	0.17456
180.00000	0.17295
180.00000	0.16908
180.00000	0.16812
180.00000	0.17311
180.00000	0.16957
180.00000	0.17070
180.00000	0.17118
180.00000	0.17263
180.00000	0.17086
180.00000	0.17311
180.00000	0.16844
180.00000	0.16796
180.00000	0.17005
180.00000	0.16973
180.00000	0.16925
180.00000	0.16747
180.00000	0.16908
180.00000	0.17053
180.00000	0.16667
180.00000	0.17053
180.00000	0.16699
180.00000	0.16860
180.00000	0.17070
180.00000	0.16908
180.00000	0.17295
180.00000	0.17295
180.00000	0.16699
180.00000	0.16957
180.00000	0.16812
180.00000	0.16892
180.00000	0.16844
180.00000	0.16812
180.00000	0.16876
180.00000	0.16957
179.98333	0.16602
179.98333	0.16264
179.96667	0.15990
179.96667	0.15958
179.95000	0.15555
179.95000	0.15829
179.91667	0.15716
179.90000	0.15330
179.86667	0.15507
179.83333	0.16151
179.76667	0.14863
179.70000	0.13429
179.65000	0.12930
179.58333	0.12157
179.48333	0.10578
179.38333	0.11786
179.31667	0.13413
179.26667	0.14251
179.21667	0.13945
179.16667	0.14605
179.11667	0.17166
179.05000	0.17231
178.91667	0.17440
178.83333	0.18390
178.78333	0.17424
178.71667	0.17102
178.65000	0.16393
178.58333	0.15394
178.55000	0.15394
178.51667	0.15523
178.46667	0.14251
178.41667	0.13606
178.33333	0.15604
178.18333	0.17746
178.05000	0.17472
177.98333	0.17859
177.90000	0.18004
177.80000	0.17698
177.73333	0.17794
177.68333	0.18519
177.61667	0.19631
177.51667	0.20484
177.41667	0.20984
177.33333	0.20710
177.23333	0.20662
177.13333	0.21306
177.03333	0.22579
176.96667	0.22450
176.91667	0.22015
176.88333	0.21676
176.78333	0.21419
176.68333	0.21676
176.61667	0.22111
176.48333	0.22965
176.40000	0.23448
176.38333	0.22997
176.35000	0.22256
176.30000	0.22208
176.26667	0.21113
176.21667	0.20549
176.16667	0.19599
176.08333	0.18100
176.01667	0.17166
175.98333	0.16908
175.93333	0.16296
175.88333	0.15056
175.81667	0.14379
175.75000	0.13735
175.73333	0.13220
175.71667	0.13638
175.71667	0.14444
175.70000	0.15974
175.66667	0.16425
175.63333	0.16006
175.60000	0.16296
175.55000	0.16377
175.50000	0.15330
175.41667	0.15362
175.31667	0.14879
175.26667	0.13671
175.21667	0.13494
175.16667	0.13961
175.11667	0.13945
175.03333	0.14202
174.96667	0.14605
174.91667	0.14154
174.88333	0.14975
174.83333	0.16022
174.75000	0.19067
174.60000	0.22208
174.51667	0.23062
174.50000	0.22691
