Measured at Multimeter,,Uncertainties (obtained from instrument manual),,Calculated from Ohm's Law,
Voltage (V),Current (A),Voltage (V),Current (A),Ohms (Ω),Uncertainty (Ω)
0.989,0.007326,0.0024945,0.000019652,134.998635,0.4970723838
1.985,0.009153,0.0029925,0.000023306,216.8687862,0.6417342284
2.982,0.010992,0.003491,0.000026984,271.2882096,0.737830843
3.979,0.012658,0.0039895,0.000030316,314.3466582,0.8161727368
4.977,0.014275,0.0044885,0.00003355,348.6514886,0.8776788252
5.974,0.01579,0.004987,0.00003658,378.340722,0.9316527907
6.972,0.017321,0.005486,0.000039642,402.5171757,0.974153748
7.97,0.018643,0.005985,0.000042286,427.5063026,1.021429749
8.968,0.020006,0.006484,0.000045012,448.2655203,1.059359979
9.965,0.021319,0.0069825,0.000047638,467.4234251,1.094621412
10.962,0.022547,0.007481,0.000050094,486.1844148,1.129994343
11.961,0.023754,0.0079805,0.000052508,503.5362465,1.162660633
12.959,0.024961,0.0084795,0.000054922,519.1699051,1.19177785
13.957,0.026082,0.0089785,0.000057164,535.1200061,1.222300522
14.955,0.027191,0.0094775,0.000059382,549.9981612,1.25068305
15.953,0.028268,0.0099765,0.000061536,564.3483798,1.278206754
16.952,0.029322,0.010476,0.000063644,578.1324603,1.304718089
17.949,0.030343,0.0109745,0.000065686,591.536763,1.330645702
18.948,0.031338,0.011474,0.000067676,604.6333525,1.356098733
19.946,0.032327,0.011973,0.000069654,617.0074551,1.380074173
