Measured at Multimeter,,Uncertainties (obtained from instrument manual),,Calculated from Ohm's Law,
Voltage (V),Current (A),Voltage (V),Current (A),Ohms (Ω),Uncertainty (Ω)
1.0015,0.000008,0.00250075,0.0000050000016,125187.5,78267.84924
2.0003,0.000018,0.00300015,0.0000050000036,111127.7778,30891.50237
3.0004,0.000027,0.0035002,0.0000050000054,111125.9259,20601.50824
4,0.000037,0.004,0.0000050000074,108108.1081,14631.22482
5,0.000046,0.0045,0.0000050000092,108695.6522,11836.88818
6,0.000056,0.005,0.0000050000112,107142.8571,9588.170828
6.999,0.000065,0.0054995,0.000005000013,107676.9231,8304.806616
7.999,0.000075,0.0059995,0.000005000015,106653.3333,7132.00151
8.999,0.000084,0.0064995,0.0000050000168,107130.9524,6398.736429
10,0.000094,0.007,0.0000050000188,106382.9787,5680.43382
11,0.000104,0.0075,0.0000050000208,105769.2308,5106.722238
11.999,0.000113,0.0079995,0.0000050000226,106185.8407,4720.256577
12.999,0.000123,0.0084995,0.0000050000246,105682.9268,4317.743512
13.999,0.000132,0.0089995,0.0000050000264,106053.0303,4038.946314
15,0.000142,0.0095,0.0000050000284,105633.8028,3741.22508
16,0.000151,0.01,0.0000050000302,105960.2649,3530.431289
16.999,0.000161,0.0104995,0.0000050000322,105583.8509,3300.762645
17.999,0.00017,0.0109995,0.000005000034,105876.4706,3135.856722
19,0.00018,0.0115,0.000005000036,105555.5556,2953.900873
20,0.000189,0.012,0.0000050000378,105820.1058,2821.352227
